RepoName,CycleComplexity,CodeSmell
iluwatar/java-design-patterns,5507,702
macrozheng/mall,13922,1620
TheAlgorithms/Java,6363,2090
ReactiveX/RxJava,4484,469
square/retrofit,3465,669
NationalSecurityAgency/ghidra,316618,73274
apache/dubbo,41348,8699
PhilJay/MPAndroidChart,4762,814
jeecgboot/jeecg-boot,11629,4927
skylot/jadx,23735,2095
airbnb/lottie-android,4762,416
bumptech/glide,12026,2602
Blankj/AndroidUtilCode,9332,1476
dbeaver/dbeaver,92988,23136
netty/netty,53746,7171
zxing/zxing,9869,11939
xkcoding/spring-boot-demo,1314,590
apolloconfig/apollo,6568,1188
alibaba/easyexcel,4125,1528
halo-dev/halo,5401,844
crossoverJie/JCSprout,633,458
alibaba/druid,66323,22877
SeleniumHQ/selenium,21546,6369
alibaba/nacos,27281,6038
dromara/hutool,27792,4207
qiurunze123/miaosha,5958,3146
lenve/vhr,1044,171
alibaba/canal,17153,3035
JakeWharton/butterknife,1275,499
wuyouzhuguli/SpringAll,2291,785
alibaba/spring-cloud-alibaba,3175,524
alibaba/fastjson,32588,19228
proxyee-down-org/proxyee-down,1113,183
apache/kafka,105400,15837
greenrobot/EventBus,867,234
xuxueli/xxl-job,7853,3165
scwang90/SmartRefreshLayout,3846,1022
TeamNewPipe/NewPipe,10507,601
signalapp/Signal-Android,66945,5946
Netflix/Hystrix,7346,2746
google/gson,4630,1175
DrKLO/Telegram,237695,46313
apache/skywalking,12911,3315
libgdx/libgdx,64887,49774
termux/termux-app,5576,934
apache/flink,226444,33710
redisson/redisson,42627,10344
alibaba/Sentinel,12250,2104
bazelbuild/bazel,119233,28885
jenkinsci/jenkins,37136,10469
google/ExoPlayer,50472,17485
ReactiveX/RxAndroid,175,25
elunez/eladmin,1446,356
didi/DoKit,22730,3724
apache/rocketmq,32794,6134
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,137,134
oracle/graal,288570,40401
CarGuo/GSYVideoPlayer,6292,1137
Baseflow/PhotoView,339,38
mybatis/mybatis-3,9374,1351
apache/shardingsphere,39573,6554
brettwooldridge/HikariCP,1968,448
linlinjava/litemall,19911,3479
Anuken/Mindustry,26322,10604
dianping/cat,59573,32895
forezp/SpringCloudLearning,645,701
nostra13/Android-Universal-Image-Loader,1383,198
Tencent/tinker,8601,1669
yudaocode/SpringBoot-Labs,4719,2044
shuzheng/zheng,7072,2490
iBotPeaches/Apktool,2643,604
openzipkin/zipkin,9076,2503
LMAX-Exchange/disruptor,2200,606
keycloak/keycloak,107402,20260
JeffLi1993/springboot-learning-example,665,147
android10/Android-CleanArchitecture,418,42
Tencent/APIJSON,3670,1301
dyc87112/SpringBoot-Learning,674,339
medcl/elasticsearch-analysis-ik,545,86
material-components/material-components-android,21065,2113
justauth/JustAuth,1072,308
williamfiset/Algorithms,7159,2672
baomidou/mybatis-plus,5650,1007
hdodenhof/CircleImageView,74,2
antlr/antlr4,21391,5689
android-hacker/VirtualXposed,8013,3821
alibaba/ARouter,699,177
