RepoName,CycleComplexity,CodeSmell
facebook/react,782,214
trekhleb/javascript-algorithms,2359,68
twbs/bootstrap,3379,84
vercel/next.js,8187,1520
d3/d3,8,0
axios/axios,1648,185
facebook/create-react-app,1888,172
nodejs/node,34782,7980
mrdoob/three.js,50074,13904
mui/material-ui,27533,2060
FortAwesome/Font-Awesome,1668,16467
typicode/json-server,506,7
iptv-org/iptv,298,17
hakimel/reveal.js,1674,170
webpack/webpack,9495,2084
expressjs/express,3366,1580
chartjs/Chart.js,6176,1886
atom/atom,16293,440
angular/angular.js,31602,12980
adam-p/markdown-here,2155,1268
jquery/jquery,8515,2152
mermaid-js/mermaid,6246,1316
lodash/lodash,5992,2596
anuraghazra/github-readme-stats,683,32
gatsbyjs/gatsby,22057,1557
strapi/strapi,23384,582
Semantic-Org/Semantic-UI,7254,1517
moment/moment,13205,2972
prettier/prettier,4057,2698
juliangarnier/anime,915,285
cypress-io/cypress,51118,3235
TryGhost/Ghost,34028,2172
iamkun/dayjs,2128,56
algorithm-visualizer/algorithm-visualizer,637,43
mozilla/pdf.js,10492,510
parcel-bundler/parcel,13636,1411
yarnpkg/yarn,5793,446
marktext/marktext,4029,161
nwjs/nw.js,2362,858
Unitech/pm2,2348,879
Dogfalo/materialize,2524,566
dcloudio/uni-app,21845,7981
agalwood/Motrix,2083,24
GitSquared/edex-ui,4101,181
Leaflet/Leaflet,4532,137
google/zx,362,19
impress/impress.js,1489,1246
iamadamdev/bypass-paywalls-chrome,378,15
hexojs/hexo,1991,12
gorhill/uBlock,13536,740
videojs/video.js,6144,342
quilljs/quill,2226,68
nolimits4web/swiper,3752,163
alvarotrigo/fullPage.js,1856,1702
preactjs/preact,6743,749
photonstorm/phaser,33032,26786
koajs/koa,870,5
microsoft/monaco-editor,688,799
adobe/brackets,30200,11535
zenorocha/clipboard.js,140,10
louislam/uptime-kuma,3122,178
SheetJS/sheetjs,13095,3568
gulpjs/gulp,96,80
carbon-app/carbon,883,25
naptha/tesseract.js,374,25
atlassian/react-beautiful-dnd,2351,39
markedjs/marked,1439,230
vuejs/vue-cli,4004,116
typicode/husky,24,0
react-boilerplate/react-boilerplate,1078,31
odoo/odoo,141891,19148
airbnb/lottie-web,4909,2742
goabstract/Awesome-Design-Tools,171,83
vuejs/vuex,1172,29
jashkenas/backbone,1557,1079
kenwheeler/slick,600,138
Kong/insomnia,6728,757
Binaryify/NeteaseCloudMusicApi,982,101
caolan/async,4680,1574
webtorrent/webtorrent,1118,15
sequelize/sequelize,9766,472
pcottle/learnGitBranching,2960,2010
layui/layui,4335,2439
fastify/fastify,6673,265
VincentGarreau/particles.js,290,137
jashkenas/underscore,3802,2019
transloadit/uppy,7786,661
SortableJS/Sortable,4411,837
GoogleChrome/lighthouse,13250,512
parallax/jsPDF,10648,6155
TheAlgorithms/JavaScript,4923,100
OAI/OpenAPI-Specification,92,8
YMFE/yapi,5082,763
codemirror/codemirror5,17729,6340
github/fetch,584,178
Automattic/mongoose,9231,327
request/request,1707,950
digitalocean/nginxconfig.io,1014,115
ajaxorg/ace,16505,13417
select2/select2,2398,2168
GitbookIO/gitbook,8,13
Modernizr/Modernizr,2136,885
jamiebuilds/the-super-tiny-compiler,48,9
qishibo/AnotherRedisDesktopManager,1545,137
rstacruz/nprogress,148,54
immerjs/immer,1646,151
remy/nodemon,638,423
lovell/sharp,3138,37
bvaughn/react-virtualized,2449,171
nylas/nylas-mail,4280,3658
fabricjs/fabric.js,7645,4427
tj/commander.js,1713,65
DIYgod/RSSHub,701,23
swagger-api/swagger-ui,5558,244
sampotts/plyr,625,36
hammerjs/hammer.js,695,192
feathericons/feather,79,6
quasarframework/quasar,18256,820
rollup/rollup,6942,1024
docsifyjs/docsify,1425,202
michalsnik/aos,256,154
vercel/pkg,2254,924
pure-css/pure,92,43
ramda/ramda,3658,2749
dimsemenov/PhotoSwipe,2602,120
eslint/eslint,7451,2229
balderdashy/sails,3839,1242
ovity/octotree,639,521
emberjs/ember.js,12400,302
redux-saga/redux-saga,3594,460
facebookarchive/draft-js,1879,82
lutzroeder/netron,38995,2156
zloirock/core-js,13618,9626
localForage/localForage,2081,722
OpenZeppelin/openzeppelin-contracts,3683,30
Tencent/wepy,3734,341
bilibili/flv.js,1644,87
mochajs/mocha,4799,1755
goldfire/howler.js,288,179
bevacqua/dragula,373,275
jlmakes/scrollreveal,135,4
vuejs/vuepress,749,47
highlightjs/highlight.js,989,513
