RepoName,CycleComplexity,CodeSmell
TheAlgorithms/Python,10394,398
Significant-Gravitas/Auto-GPT,1133,135
ytdl-org/youtube-dl,15764,1074
huggingface/transformers,107508,7513
nvbn/thefuck,2129,111
AUTOMATIC1111/stable-diffusion-webui,5651,695
django/django,46635,4046
521xueweihan/HelloGitHub,39,1
pallets/flask,1999,112
home-assistant/core,120364,10123
keras-team/keras,25309,1566
tiangolo/fastapi,4488,716
ansible/ansible,30280,2879
scikit-learn/scikit-learn,22868,7371
3b1b/manim,3221,171
psf/requests,1171,104
ageitgey/face_recognition,242,26
soimort/you-get,2360,740
scrapy/scrapy,6936,817
yt-dlp/yt-dlp,22190,1715
deepfakes/faceswap,8354,277
d2l-ai/d2l-zh,1723,326
Textualize/rich,3715,416
CorentinJ/Real-Time-Voice-Cloning,768,111
sherlock-project/sherlock,162,39
commaai/openpilot,8538,1649
iperov/DeepFaceLab,3656,640
nomic-ai/gpt4all,194,22
ultralytics/yolov5,2525,266
hwchase17/langchain,7246,377
openai/whisper,554,34
apachecn/ailearning,2349,2415
chubin/cheat.sh,970,74
google-research/bert,689,44
getsentry/sentry,60389,7022
binary-husky/gpt_academic,3306,2168
microsoft/TaskMatrix,174,45
psf/black,3647,1253
LAION-AI/Open-Assistant,6358,646
xtekky/gpt4free,316,60
XX-net/XX-Net,15244,3555
openai/gym,2970,132
testerSunshine/12306,517,367
mitmproxy/mitmproxy,11670,1641
Z4nzu/hackingtool,128,11
apache/airflow,56837,4314
certbot/certbot,7839,594
mingrammer/diagrams,266,44
babysor/MockingBird,2345,325
TencentARC/GFPGAN,525,40
ccxt/ccxt,137082,150191
httpie/httpie,1963,198
sqlmapproject/sqlmap,13288,4322
explosion/spaCy,9005,898
facebookresearch/Detectron,1704,211
encode/django-rest-framework,5529,1016
acheong08/ChatGPT,343,26
huggingface/pytorch-image-models,8532,662
python-poetry/poetry,5249,257
facebookresearch/detectron2,7085,596
ycm-core/YouCompleteMe,1633,574
tqdm/tqdm,1187,156
streamlit/streamlit,9453,614
google/python-fire,1385,292
microsoft/DeepSpeed,11721,1269
open-mmlab/mmdetection,9844,1008
pypa/pipenv,34678,2641
littlecodersh/ItChat,541,392
THUDM/ChatGLM-6B,933,40
beurtschipper/Depix,107,136
numpy/numpy,26241,2842
getredash/redash,10661,1170
google/jax,28056,2220
matterport/Mask_RCNN,498,68
Lightning-AI/lightning,17985,1292
nicolargo/glances,3325,265
microsoft/cascadia-code,66,11
deezer/spleeter,282,16
eriklindernoren/ML-From-Scratch,732,277
facebookresearch/fairseq,22061,1479
OpenBB-finance/OpenBBTerminal,18286,2220
python-telegram-bot/python-telegram-bot,7668,523
sebastianruder/NLP-progress,79,3
freqtrade/freqtrade,8047,834
celery/celery,10771,1129
chubin/wttr.in,882,102
locustio/locust,2672,494
tornadoweb/tornado,5497,480
vnpy/vnpy,777,53
jumpserver/jumpserver,13668,2503
xinntao/Real-ESRGAN,281,19
karpathy/nanoGPT,128,2
microsoft/JARVIS,317,58
junyanz/pytorch-CycleGAN-and-pix2pix,457,60
heartexlabs/labelImg,724,104
cookiecutter/cookiecutter,606,72
Textualize/textual,7282,1210
lm-sys/FastChat,965,118
openai/gpt-2,74,5
plotly/dash,8873,1952
kovidgoyal/kitty,17486,2452
magenta/magenta,6286,554
saleor/saleor,24065,5002
jina-ai/jina,7774,195985
JaidedAI/EasyOCR,1671,482
d2l-ai/d2l-en,1821,365
jhao104/proxy_pool,291,66
zulip/zulip,36197,2970
chriskiehl/Gooey,1503,464
pyg-team/pytorch_geometric,12723,584
bokeh/bokeh,11527,1437
Vonng/ddia,12,1
matplotlib/matplotlib,22225,2283
sanic-org/sanic,5275,400
nginx-proxy/nginx-proxy,309,62
pyscript/pyscript,1674,337
AnthonyCalandra/modern-cpp-features,17,4
spotify/luigi,8142,1066
jantic/DeOldify,3853,542
ungoogled-software/ungoogled-chromium,656,38
mkdocs/mkdocs,4220,967
RasaHQ/rasa,12786,620
huggingface/datasets,8107,565
quantopian/zipline,7862,579
Jack-Cherish/python-spider,1056,365
mindsdb/mindsdb,7443,1005
kholia/OSX-KVM,156,26
openai/chatgpt-retrieval-plugin,631,96
WZMIAOMIAO/deep-learning-for-image-processing,7574,759
binux/pyspider,3125,561
facebook/prophet,771,79
cool-RR/PySnooper,878,104
kivy/kivy,12737,1184
ipython/ipython,7824,829
magic-wormhole/magic-wormhole,2593,636
joke2k/faker,4812,949
ArchiveBox/ArchiveBox,1630,815
microsoft/recommenders,2929,488
rsms/inter,2659,1684
python/mypy,23288,1816
InstaPy/InstaPy,2048,347
karpathy/minGPT,120,6
kovidgoyal/calibre,77200,10506
wting/autojump,549,26
Kr1s77/awesome-python-login-model,625,312
twintproject/twint,450,238
Delgan/loguru,1892,282
jerryjliu/llama_index,2901,3509
h2y/Shadowrocket-ADBlock-Rules,71,10
wagtail/wagtail,20695,2200
onnx/onnx,6270,765
huggingface/diffusers,16332,1260
mnielsen/neural-networks-and-deep-learning,198,56
openai/baselines,2336,306
jupyter/jupyter,6,1
RaRe-Technologies/gensim,5790,1066
deepinsight/insightface,15171,3348
ManimCommunity/manim,6360,71
borisdayma/dalle-mini,831,54
eriklindernoren/PyTorch-GAN,750,85
fabric/fabric,809,338
lucidrains/vit-pytorch,969,31
wangshub/wechat_jump_game,352,25
pallets/click,2350,163
powerline/powerline,3982,389
yoheinakajima/babyagi,285,50
aws/aws-cli,9246,847
KurtBestor/Hitomi-Downloader,2201,493
mxrch/GHunt,810,171
pydantic/pydantic,4854,874
frappe/erpnext,38217,4508
tensorflow/tensor2tensor,13347,809
aio-libs/aiohttp,6669,672
aleju/imgaug,14365,1814
apprenticeharper/DeDRM_tools,4258,1415
pyecharts/pyecharts,952,81
youfou/wxpy,619,42
plotly/plotly.py,63245,1761
NVlabs/stylegan,929,167
Ciphey/Ciphey,944,151
ranger/ranger,4065,202
RunaCapital/awesome-oss-alternatives,44,6
horovod/horovod,8444,683
gunthercox/ChatterBot,999,116
hindupuravinash/the-gan-zoo,8,0
google/yapf,2690,334
saltstack/salt,121457,15821
lra/mackup,200,12
psf/requests-html,1171,104
heartexlabs/label-studio,10247,2476
microsoft/nni,25712,2155
Rapptz/discord.py,8155,361
tgbot-collection/YYeTsBot,884,368
flairNLP/flair,5426,567
sivel/speedtest-cli,261,18
codelucas/newspaper,1142,16293
OpenEthan/SMSBoom,274,85
Python-World/python-mini-projects,1081,284
networkx/networkx,15557,3207
netbox-community/netbox,8404,1249
