RepoName,CycleComplexity,CodeSmell
vuejs/vue,10345,583
microsoft/vscode,7475,1342
angular/angular,7349,4341
ant-design/ant-design,507,16
puppeteer/puppeteer,1301,142
storybookjs/storybook,3019,580
gothinkster/realworld,576,25
sveltejs/svelte,5841,528
coder/code-server,1187,40
reduxjs/redux,1396,165
socketio/socket.io,824,208
nestjs/nest,11992,488
vitejs/vite,5809,312
grafana/grafana,51158,5588
apache/echarts,1365,2158
apache/superset,23314,1462
hoppscotch/hoppscotch,8973,454
microsoft/playwright,47304,8945
remix-run/react-router,311,12
supabase/supabase,3543,523
excalidraw/excalidraw,562,95
facebook/docusaurus,2542,125
DefinitelyTyped/DefinitelyTyped,2093,1046
babel/babel,6049,1089
jestjs/jest,9265,2214
vercel/hyper,1688,596
pixijs/pixijs,3464,377
styled-components/styled-components,1739,65
vuejs/core,16134,911
vuetifyjs/vuetify,12271,558
streamich/react-use,1066,58
nocodb/nocodb,18269,1646
RocketChat/Rocket.Chat,43563,3250
react-hook-form/react-hook-form,54,5
lerna/lerna,546,14
TanStack/query,8540,269
ant-design/ant-design-pro,303,9
nativefier/nativefier,1106,24
NervJS/taro,19672,1786
immutable-js/immutable-js,3754,438
chakra-ui/chakra-ui,6186,190
jaredpalmer/formik,1535,146
date-fns/date-fns,6255,434
typeorm/typeorm,266,29
prisma/prisma,2340,179
appwrite/appwrite,6574,8628
pmndrs/zustand,77,3
withastro/astro,10615,607
n8n-io/n8n,43331,1948
ReactiveX/rxjs,4484,469
niklasvh/html2canvas,2376,158
solidjs/solid,3999,420
postcss/postcss,399,2
ianstormtaylor/slate,19913,11467
lyswhut/lx-music-desktop,9123,554
vercel/swr,3094,59
slidevjs/slidev,1900,106
mobxjs/mobx,11397,1806
cheeriojs/cheerio,259,25
JedWatson/react-select,2097,134
angular/angular-cli,13547,510
pmndrs/react-spring,16855,11376
balena-io/etcher,639,9
mattermost/mattermost-server,87674,6476
floating-ui/floating-ui,3599,102
trpc/trpc,910,201
AykutSarac/jsoncrack.com,790,15
statelyai/xstate,5512,721
react-native-elements/react-native-elements,17462,11438
vuejs/devtools,4055,155
pnpm/pnpm,3790,170
angular/components,1641,177
remix-run/remix,522,39
doczjs/docz,1350,62
Yidadaa/ChatGPT-Next-Web,982,58
discordjs/discord.js,5999,610
reduxjs/react-redux,1619,523
neoclide/coc.nvim,2813,110
codex-team/editor.js,1364,108
pmndrs/react-three-fiber,1746,97
react-navigation/react-navigation,5996,648
t4t5/sweetalert,260,51
marmelab/react-admin,28814,11862
withfig/autocomplete,1322,91
conwnet/github1s,1803,97
homebridge/homebridge,565,190
felixrieseberg/windows95,210,12
backstage/backstage,6676,586
colinhacks/zod,2025,183
react-bootstrap/react-bootstrap,2293,76
directus/directus,122,19
TanStack/table,4549,199
youzan/vant,6418,154
electron-react-boilerplate/electron-react-boilerplate,95,0
reworkd/AgentGPT,253,19
refined-github/refined-github,2193,207
lensapp/lens,18951,559
vadimdemedes/ink,1188,134
