nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada
facebook/react-native,https://github.com/facebook/react-native,109382,2558,105,27484.0,3029,12648.0,Java,Tipada
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,81599,342,0,3454.0,0,1648.0,Java,Tipada
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,67050,1013,0,42558.0,0,5683.0,Java,Tipada
macrozheng/mall,https://github.com/macrozheng/mall,65927,1,0,951.0,0,106.0,Java,Tipada
elastic/elasticsearch,https://github.com/elastic/elasticsearch,63640,3334,0,68631.0,0,63690.0,Java,Tipada
TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,51729,552,1,1852.0,22,3092.0,Java,Tipada
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,51707,739,0,26581.0,0,4250.0,Java,Tipada
google/guava,https://github.com/google/guava,47368,287,0,6036.0,0,1678.0,Java,Tipada
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,46983,310,0,6028.0,265,3775.0,Java,Tipada
square/retrofit,https://github.com/square/retrofit,41488,197,5,2051.0,23,1182.0,Java,Tipada
NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,39276,236,0,9422.0,0,1041.0,Java,Tipada
apache/dubbo,https://github.com/apache/dubbo,38848,541,0,6695.0,0,6015.0,Java,Tipada
PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,36415,72,22,2070.0,60,493.0,Java,Tipada
jeecgboot/jeecg-boot,https://github.com/jeecgboot/jeecg-boot,34503,13,0,903.0,0,185.0,Java,Tipada
skylot/jadx,https://github.com/skylot/jadx,34413,92,155,1974.0,394,442.0,Java,Tipada
airbnb/lottie-android,https://github.com/airbnb/lottie-android,33865,156,0,1500.0,0,690.0,Java,Tipada
bumptech/glide,https://github.com/bumptech/glide,33572,147,49,2858.0,399,833.0,Java,Tipada
alibaba/arthas,https://github.com/alibaba/arthas,32326,178,3,1883.0,81,712.0,Java,Tipada
Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,32105,39,177,1430.0,165,213.0,Java,Tipada
