nameWithOwner,url,stargazers,mentionableUsers,openIssues,closedIssues,commitsCount
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,133356,398,5,107,4693
facebook/react-native,https://github.com/facebook/react-native,109382,2558,105,3029,27484
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,81599,342,0,0,3454
MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,73048,15,0,0,246
doocs/advanced-java,https://github.com/doocs/advanced-java,69865,385,0,0,730
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,67050,1013,0,0,42558
macrozheng/mall,https://github.com/macrozheng/mall,65927,1,0,0,951
elastic/elasticsearch,https://wgithub.com/elastic/elasticsearch,63640,3334,0,0,68631
GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,61590,1,0,0,551
kdn251/interviews,https://github.com/kdn251/interviews,59732,31,0,0,445
TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,51729,552,1,22,1852
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,51707,739,0,0,26581
google/guava,https://github.com/google/guava,47368,287,0,0,6036
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,46983,310,0,265,6028
square/retrofit,https://github.com/square/retrofit,41488,197,5,23,2051
NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,39276,236,0,0,9422
apache/dubbo,https://github.com/apache/dubbo,38848,541,0,0,6695
PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,36415,72,22,60,2070
jeecgboot/jeecg-boot,https://github.com/jeecgboot/jeecg-boot,34503,13,0,0,903
skylot/jadx,https://github.com/skylot/jadx,34413,92,155,394,1974
eugenp/tutorials,https://github.com/eugenp/tutorials,34072,940,0,0,27130
airbnb/lottie-android,https://github.com/airbnb/lottie-android,33865,156,0,0,1500
bumptech/glide,https://github.com/bumptech/glide,33572,147,49,399,2858
alibaba/arthas,https://github.com/alibaba/arthas,32326,178,3,81,1883
geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,32283,5,0,0,399
Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,32105,39,177,165,1430
dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,31881,262,643,6623,24192
netty/netty,https://github.com/netty/netty,31146,625,0,0,11144
zxing/zxing,https://github.com/zxing/zxing,31011,116,3,46,3689
xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,29376,9,22,16,734
ityouknow/spring-boot-examples,https://github.com/ityouknow/spring-boot-examples,28872,8,0,0,213
apolloconfig/apollo,https://github.com/apolloconfig/apollo,28019,141,3,17,2836
alibaba/easyexcel,https://github.com/alibaba/easyexcel,27661,66,66,578,1048
halo-dev/halo,https://github.com/halo-dev/halo,27108,100,0,0,4242
crossoverJie/JCSprout,https://github.com/crossoverJie/JCSprout,26961,23,2,9,709
alibaba/druid,https://github.com/alibaba/druid,26826,215,80,325,6833
SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,26487,678,0,3,29630
alibaba/nacos,https://github.com/alibaba/nacos,26264,314,0,0,4559
dromara/hutool,https://github.com/dromara/hutool,26188,245,0,304,4582
qiurunze123/miaosha,https://github.com/qiurunze123/miaosha,25875,9,0,0,248
lenve/vhr,https://github.com/lenve/vhr,25857,2,0,0,159
alibaba/canal,https://github.com/alibaba/canal,25637,194,3,158,1557
JakeWharton/butterknife,https://github.com/JakeWharton/butterknife,25624,97,0,10,1016
wuyouzhuguli/SpringAll,https://github.com/wuyouzhuguli/SpringAll,25502,3,0,0,140
alibaba/spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,25502,166,3,42,2434
alibaba/fastjson,https://github.com/alibaba/fastjson,25316,179,57,222,3982
proxyee-down-org/proxyee-down,https://github.com/proxyee-down-org/proxyee-down,25061,9,0,0,475
apache/kafka,https://github.com/apache/kafka,24835,1024,0,0,11140
hollischuang/toBeTopJavaer,https://github.com/hollischuang/toBeTopJavaer,24628,37,0,0,271
greenrobot/EventBus,https://github.com/greenrobot/EventBus,24337,22,1,7,550
xuxueli/xxl-job,https://github.com/xuxueli/xxl-job,24212,57,0,1,1723
scwang90/SmartRefreshLayout,https://github.com/scwang90/SmartRefreshLayout,24173,8,20,32,1127
seata/seata,https://github.com/seata/seata,23695,271,0,0,1668
TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe,23608,788,453,1928,10698
signalapp/Signal-Android,https://github.com/signalapp/Signal-Android,23589,306,0,0,12247
Netflix/Hystrix,https://github.com/Netflix/Hystrix,23347,663,7,73,2109
google/gson,https://github.com/google/gson,22085,156,58,73,1815
DrKLO/Telegram,https://github.com/DrKLO/Telegram,22033,16,0,0,499
doocs/leetcode,https://github.com/doocs/leetcode,21966,438,0,0,7449
apache/skywalking,https://github.com/apache/skywalking,21743,453,8,893,7582
libgdx/libgdx,https://github.com/libgdx/libgdx,21457,549,45,349,15223
termux/termux-app,https://github.com/termux/termux-app,21442,75,0,0,1428
apache/flink,https://github.com/apache/flink,21181,1146,0,0,33264
redisson/redisson,https://github.com/redisson/redisson,21079,124,4,923,7932
alibaba/Sentinel,https://github.com/alibaba/Sentinel,20919,191,0,0,803
