nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada
facebook/react,https://github.com/facebook/react,206945,1705,0,15798.0,945.0,13543.0,Javascript,NaoTipada
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,169525,198,1,1097.0,12.0,671.0,Javascript,NaoTipada
twbs/bootstrap,https://github.com/twbs/bootstrap,163284,1355,0,22399.0,0.0,14568.0,Javascript,NaoTipada
vercel/next.js,https://github.com/vercel/next.js,105642,2637,0,15731.0,0.0,15746.0,Javascript,NaoTipada
d3/d3,https://github.com/d3/d3,105230,125,0,4355.0,235.0,1114.0,Javascript,NaoTipada
axios/axios,https://github.com/axios/axios,100051,421,0,1450.0,0.0,1363.0,Javascript,NaoTipada
facebook/create-react-app,https://github.com/facebook/create-react-app,99659,997,0,2800.0,0.0,4161.0,Javascript,NaoTipada
nodejs/node,https://github.com/nodejs/node,95178,3226,0,38858.0,0.0,30331.0,Javascript,NaoTipada
mrdoob/three.js,https://github.com/mrdoob/three.js,91374,1751,32,41530.0,1162.0,14155.0,Javascript,NaoTipada
mui/material-ui,https://github.com/mui/material-ui,86488,2744,0,21801.0,0.0,18990.0,Javascript,NaoTipada
FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,71375,20,139,13.0,573.0,665.0,Javascript,NaoTipada
typicode/json-server,https://github.com/typicode/json-server,66709,75,3,872.0,0.0,356.0,Javascript,NaoTipada
iptv-org/iptv,https://github.com/iptv-org/iptv,64429,225,0,25961.0,0.0,5960.0,Javascript,NaoTipada
hakimel/reveal.js,https://github.com/hakimel/reveal.js,63680,306,5,2964.0,46.0,1008.0,Javascript,NaoTipada
webpack/webpack,https://github.com/webpack/webpack,63032,795,54,15803.0,1063.0,6195.0,Javascript,NaoTipada
expressjs/express,https://github.com/expressjs/express,60774,326,3,5771.0,93.0,1154.0,Javascript,NaoTipada
chartjs/Chart.js,https://github.com/chartjs/Chart.js,60506,462,0,4437.0,1975.0,3689.0,Javascript,NaoTipada
atom/atom,https://github.com/atom/atom,59368,503,78,38533.0,1927.0,5281.0,Javascript,NaoTipada
angular/angular.js,https://github.com/angular/angular.js,59177,1703,0,9073.0,1500.0,7999.0,Javascript,NaoTipada
adam-p/markdown-here,https://github.com/adam-p/markdown-here,58724,12,23,807.0,63.0,82.0,Javascript,NaoTipada
jquery/jquery,https://github.com/jquery/jquery,57444,287,12,6612.0,107.0,2843.0,Javascript,NaoTipada
mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,57287,437,0,7389.0,0.0,1893.0,Javascript,NaoTipada
lodash/lodash,https://github.com/lodash/lodash,56245,312,7,8005.0,234.0,1326.0,Javascript,NaoTipada
anuraghazra/github-readme-stats,https://github.com/anuraghazra/github-readme-stats,54877,256,22,739.0,190.0,1458.0,Javascript,NaoTipada
gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,54405,3960,0,21387.0,3517.0,21562.0,Javascript,NaoTipada
strapi/strapi,https://github.com/strapi/strapi,53560,899,0,29918.0,0.0,7892.0,Javascript,NaoTipada
Semantic-Org/Semantic-UI,https://github.com/Semantic-Org/Semantic-UI,50555,214,0,6747.0,0.0,878.0,Javascript,NaoTipada
moment/moment,https://github.com/moment/moment,47357,593,12,3980.0,241.0,2033.0,Javascript,NaoTipada
prettier/prettier,https://github.com/prettier/prettier,45506,632,0,8421.0,0.0,8594.0,Javascript,NaoTipada
juliangarnier/anime,https://github.com/juliangarnier/anime,45085,51,11,736.0,22.0,154.0,Javascript,NaoTipada
cypress-io/cypress,https://github.com/cypress-io/cypress,43317,469,0,19615.0,1031.0,6554.0,Javascript,NaoTipada
TryGhost/Ghost,https://github.com/TryGhost/Ghost,43074,483,18,33964.0,1731.0,10115.0,Javascript,NaoTipada
iamkun/dayjs,https://github.com/iamkun/dayjs,42990,306,0,1454.0,0.0,945.0,Javascript,NaoTipada
algorithm-visualizer/algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,42772,25,0,667.0,1.0,250.0,Javascript,NaoTipada
mozilla/pdf.js,https://github.com/mozilla/pdf.js,42380,374,0,17199.0,0.0,7396.0,Javascript,NaoTipada
parcel-bundler/parcel,https://github.com/parcel-bundler/parcel,42321,376,0,2917.0,0.0,2807.0,Javascript,NaoTipada
yarnpkg/yarn,https://github.com/yarnpkg/yarn,41157,528,3,2353.0,6.0,2279.0,Javascript,NaoTipada
marktext/marktext,https://github.com/marktext/marktext,39662,140,0,1599.0,0.0,1059.0,Javascript,NaoTipada
nwjs/nw.js,https://github.com/nwjs/nw.js,39573,108,478,4951.0,432.0,826.0,Javascript,NaoTipada
Unitech/pm2,https://github.com/Unitech/pm2,39000,274,0,4998.0,0.0,856.0,Javascript,NaoTipada
Dogfalo/materialize,https://github.com/Dogfalo/materialize,38827,260,33,3878.0,211.0,1441.0,Javascript,NaoTipada
dcloudio/uni-app,https://github.com/dcloudio/uni-app,38048,201,23,10183.0,266.0,330.0,Javascript,NaoTipada
agalwood/Motrix,https://github.com/agalwood/Motrix,37628,67,0,1142.0,0.0,254.0,Javascript,NaoTipada
GitSquared/edex-ui,https://github.com/GitSquared/edex-ui,37569,57,5,1428.0,49.0,475.0,Javascript,NaoTipada
Leaflet/Leaflet,https://github.com/Leaflet/Leaflet,37460,788,109,7644.0,773.0,3813.0,Javascript,NaoTipada
google/zx,https://github.com/google/zx,37259,46,3,480.0,8.0,209.0,Javascript,NaoTipada
impress/impress.js,https://github.com/impress/impress.js,37191,83,0,413.0,5.0,374.0,Javascript,NaoTipada
iamadamdev/bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,36770,54,0,616.0,1.0,194.0,Javascript,NaoTipada
hexojs/hexo,https://github.com/hexojs/hexo,36708,184,7,3589.0,254.0,1145.0,Javascript,NaoTipada
gorhill/uBlock,https://github.com/gorhill/uBlock,35610,104,0,10854.0,0.0,366.0,Javascript,NaoTipada
videojs/video.js,https://github.com/videojs/video.js,35511,436,79,3941.0,378.0,3001.0,Javascript,NaoTipada
quilljs/quill,https://github.com/quilljs/quill,35498,134,52,5368.0,218.0,576.0,Javascript,NaoTipada
nolimits4web/swiper,https://github.com/nolimits4web/swiper,35052,264,0,3380.0,0.0,779.0,Javascript,NaoTipada
alvarotrigo/fullPage.js,https://github.com/alvarotrigo/fullPage.js,34533,141,24,2146.0,257.0,508.0,Javascript,NaoTipada
preactjs/preact,https://github.com/preactjs/preact,34353,305,13,5304.0,174.0,2115.0,Javascript,NaoTipada
photonstorm/phaser,https://github.com/photonstorm/phaser,34261,544,0,18802.0,0.0,2250.0,Javascript,NaoTipada
koajs/koa,https://github.com/koajs/koa,33965,233,10,1183.0,9.0,813.0,Javascript,NaoTipada
microsoft/monaco-editor,https://github.com/microsoft/monaco-editor,33953,281,94,3197.0,546.0,445.0,Javascript,NaoTipada
adobe/brackets,https://github.com/adobe/brackets,33451,590,0,17847.0,0.0,5606.0,Javascript,NaoTipada
zenorocha/clipboard.js,https://github.com/zenorocha/clipboard.js,33123,61,4,396.0,38.0,226.0,Javascript,NaoTipada
louislam/uptime-kuma,https://github.com/louislam/uptime-kuma,32901,320,73,4190.0,253.0,954.0,Javascript,NaoTipada
SheetJS/sheetjs,https://github.com/SheetJS/sheetjs,32788,181,0,769.0,0.0,320.0,Javascript,NaoTipada
gulpjs/gulp,https://github.com/gulpjs/gulp,32752,248,1,1198.0,28.0,664.0,Javascript,NaoTipada
carbon-app/carbon,https://github.com/carbon-app/carbon,32482,175,14,1854.0,83.0,796.0,Javascript,NaoTipada
naptha/tesseract.js,https://github.com/naptha/tesseract.js,30319,67,0,707.0,1.0,179.0,Javascript,NaoTipada
atlassian/react-beautiful-dnd,https://github.com/atlassian/react-beautiful-dnd,29904,189,0,802.0,0.0,949.0,Javascript,NaoTipada
markedjs/marked,https://github.com/markedjs/marked,29641,158,0,2987.0,0.0,1402.0,Javascript,NaoTipada
vuejs/vue-cli,https://github.com/vuejs/vue-cli,29638,515,38,3531.0,272.0,1802.0,Javascript,NaoTipada
typicode/husky,https://github.com/typicode/husky,29378,105,0,866.0,14.0,351.0,Javascript,NaoTipada
react-boilerplate/react-boilerplate,https://github.com/react-boilerplate/react-boilerplate,29125,222,0,1457.0,145.0,1194.0,Javascript,NaoTipada
odoo/odoo,https://github.com/odoo/odoo,28991,2267,0,159120.0,0.0,103222.0,Javascript,NaoTipada
airbnb/lottie-web,https://github.com/airbnb/lottie-web,28379,108,3,2357.0,6.0,218.0,Javascript,NaoTipada
goabstract/Awesome-Design-Tools,https://github.com/goabstract/Awesome-Design-Tools,28320,232,0,1649.0,0.0,385.0,Javascript,NaoTipada
vuejs/vuex,https://github.com/vuejs/vuex,28020,354,1,1209.0,17.0,961.0,Javascript,NaoTipada
jashkenas/backbone,https://github.com/jashkenas/backbone,28003,324,4,3454.0,186.0,1849.0,Javascript,NaoTipada
kenwheeler/slick,https://github.com/kenwheeler/slick,27965,151,0,925.0,0.0,686.0,Javascript,NaoTipada
Kong/insomnia,https://github.com/Kong/insomnia,27951,307,0,4006.0,0.0,2380.0,Javascript,NaoTipada
Binaryify/NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,27854,83,0,1317.0,13.0,410.0,Javascript,NaoTipada
caolan/async,https://github.com/caolan/async,27853,232,0,1883.0,76.0,780.0,Javascript,NaoTipada
webtorrent/webtorrent,https://github.com/webtorrent/webtorrent,27836,174,22,3314.0,90.0,880.0,Javascript,NaoTipada
sequelize/sequelize,https://github.com/sequelize/sequelize,27826,1049,0,10013.0,1243.0,5564.0,Javascript,NaoTipada
pcottle/learnGitBranching,https://github.com/pcottle/learnGitBranching,27448,255,0,2768.0,0.0,593.0,Javascript,NaoTipada
layui/layui,https://github.com/layui/layui,27295,41,0,1202.0,1.0,412.0,Javascript,NaoTipada
fastify/fastify,https://github.com/fastify/fastify,27217,622,1,3649.0,203.0,2772.0,Javascript,NaoTipada
VincentGarreau/particles.js,https://github.com/VincentGarreau/particles.js,27129,14,1,235.0,2.0,110.0,Javascript,NaoTipada
jashkenas/underscore,https://github.com/jashkenas/underscore,26947,283,1,2830.0,112.0,1551.0,Javascript,NaoTipada
transloadit/uppy,https://github.com/transloadit/uppy,26811,370,75,9236.0,646.0,2411.0,Javascript,NaoTipada
SortableJS/Sortable,https://github.com/SortableJS/Sortable,26782,152,21,1080.0,74.0,492.0,Javascript,NaoTipada
GoogleChrome/lighthouse,https://github.com/GoogleChrome/lighthouse,26466,325,119,5668.0,629.0,5475.0,Javascript,NaoTipada
parallax/jsPDF,https://github.com/parallax/jsPDF,26442,194,39,2267.0,122.0,1229.0,Javascript,NaoTipada
TheAlgorithms/JavaScript,https://github.com/TheAlgorithms/JavaScript,26394,349,2,1732.0,8.0,1128.0,Javascript,NaoTipada
OAI/OpenAPI-Specification,https://github.com/OAI/OpenAPI-Specification,26375,211,2,1962.0,8.0,1061.0,Javascript,NaoTipada
YMFE/yapi,https://github.com/YMFE/yapi,25994,90,0,5802.0,6.0,289.0,Javascript,NaoTipada
codemirror/codemirror5,https://github.com/codemirror/codemirror5,25852,860,0,7142.0,0.0,2867.0,Javascript,NaoTipada
github/fetch,https://github.com/github/fetch,25712,123,0,656.0,2.0,301.0,Javascript,NaoTipada
Automattic/mongoose,https://github.com/Automattic/mongoose,25631,959,0,19225.0,0.0,3033.0,Javascript,NaoTipada
request/request,https://github.com/request/request,25630,311,1,2270.0,0.0,1174.0,Javascript,NaoTipada
digitalocean/nginxconfig.io,https://github.com/digitalocean/nginxconfig.io,25620,69,3,293.0,6.0,206.0,Javascript,NaoTipada
ajaxorg/ace,https://github.com/ajaxorg/ace,25614,465,51,8420.0,113.0,2108.0,Javascript,NaoTipada
select2/select2,https://github.com/select2/select2,25594,505,0,2654.0,0.0,1491.0,Javascript,NaoTipada
GitbookIO/gitbook,https://github.com/GitbookIO/gitbook,25548,101,0,2379.0,0.0,386.0,Javascript,NaoTipada
Modernizr/Modernizr,https://github.com/Modernizr/Modernizr,25453,301,0,2613.0,0.0,1221.0,Javascript,NaoTipada
jamiebuilds/the-super-tiny-compiler,https://github.com/jamiebuilds/the-super-tiny-compiler,25380,18,0,13.0,0.0,59.0,Javascript,NaoTipada
qishibo/AnotherRedisDesktopManager,https://github.com/qishibo/AnotherRedisDesktopManager,25380,29,3,753.0,8.0,192.0,Javascript,NaoTipada
rstacruz/nprogress,https://github.com/rstacruz/nprogress,25258,32,0,209.0,0.0,95.0,Javascript,NaoTipada
immerjs/immer,https://github.com/immerjs/immer,25214,174,0,1369.0,75.0,440.0,Javascript,NaoTipada
remy/nodemon,https://github.com/remy/nodemon,25199,160,3,1288.0,60.0,509.0,Javascript,NaoTipada
lovell/sharp,https://github.com/lovell/sharp,25167,183,1,1844.0,199.0,372.0,Javascript,NaoTipada
bvaughn/react-virtualized,https://github.com/bvaughn/react-virtualized,24911,200,22,1988.0,62.0,626.0,Javascript,NaoTipada
nylas/nylas-mail,https://github.com/nylas/nylas-mail,24738,174,214,6116.0,434.0,255.0,Javascript,NaoTipada
fabricjs/fabric.js,https://github.com/fabricjs/fabric.js,24734,286,77,4686.0,658.0,2556.0,Javascript,NaoTipada
tj/commander.js,https://github.com/tj/commander.js,24645,178,1,1201.0,44.0,902.0,Javascript,NaoTipada
DIYgod/RSSHub,https://github.com/DIYgod/RSSHub,24313,777,0,9106.0,0.0,7989.0,Javascript,NaoTipada
swagger-api/swagger-ui,https://github.com/swagger-api/swagger-ui,23817,511,0,5601.0,527.0,3393.0,Javascript,NaoTipada
sampotts/plyr,https://github.com/sampotts/plyr,23632,180,20,2294.0,131.0,534.0,Javascript,NaoTipada
hammerjs/hammer.js,https://github.com/hammerjs/hammer.js,23522,87,11,1199.0,11.0,250.0,Javascript,NaoTipada
feathericons/feather,https://github.com/feathericons/feather,23422,39,3,643.0,2.0,576.0,Javascript,NaoTipada
quasarframework/quasar,https://github.com/quasarframework/quasar,23421,633,0,12958.0,0.0,4408.0,Javascript,NaoTipada
rollup/rollup,https://github.com/rollup/rollup,23389,349,0,5254.0,0.0,1933.0,Javascript,NaoTipada
docsifyjs/docsify,https://github.com/docsifyjs/docsify,23379,174,25,1674.0,99.0,804.0,Javascript,NaoTipada
michalsnik/aos,https://github.com/michalsnik/aos,23369,19,3,259.0,12.0,136.0,Javascript,NaoTipada
vercel/pkg,https://github.com/vercel/pkg,23223,246,0,1135.0,18.0,282.0,Javascript,NaoTipada
pure-css/pure,https://github.com/pure-css/pure,22982,70,0,870.0,56.0,541.0,Javascript,NaoTipada
ramda/ramda,https://github.com/ramda/ramda,22963,316,5,2987.0,24.0,1734.0,Javascript,NaoTipada
dimsemenov/PhotoSwipe,https://github.com/dimsemenov/PhotoSwipe,22834,70,22,697.0,20.0,223.0,Javascript,NaoTipada
eslint/eslint,https://github.com/eslint/eslint,22620,950,28,8901.0,2622.0,6724.0,Javascript,NaoTipada
balderdashy/sails,https://github.com/balderdashy/sails,22562,240,24,7161.0,134.0,926.0,Javascript,NaoTipada
ovity/octotree,https://github.com/ovity/octotree,22451,66,0,718.0,0.0,385.0,Javascript,NaoTipada
emberjs/ember.js,https://github.com/emberjs/ember.js,22450,819,63,22082.0,1195.0,10134.0,Javascript,NaoTipada
redux-saga/redux-saga,https://github.com/redux-saga/redux-saga,22443,320,9,1939.0,40.0,873.0,Javascript,NaoTipada
facebookarchive/draft-js,https://github.com/facebookarchive/draft-js,22379,251,69,1201.0,71.0,1363.0,Javascript,NaoTipada
lutzroeder/netron,https://github.com/lutzroeder/netron,22306,1,4,6705.0,216.0,162.0,Javascript,NaoTipada
zloirock/core-js,https://github.com/zloirock/core-js,22293,118,2,5204.0,40.0,321.0,Javascript,NaoTipada
localForage/localForage,https://github.com/localForage/localForage,22194,104,10,1124.0,25.0,372.0,Javascript,NaoTipada
OpenZeppelin/openzeppelin-contracts,https://github.com/OpenZeppelin/openzeppelin-contracts,22162,419,1,3171.0,35.0,2505.0,Javascript,NaoTipada
Tencent/wepy,https://github.com/Tencent/wepy,22108,170,9,2454.0,51.0,692.0,Javascript,NaoTipada
bilibili/flv.js,https://github.com/bilibili/flv.js,22101,39,0,431.0,0.0,77.0,Javascript,NaoTipada
mochajs/mocha,https://github.com/mochajs/mocha,21993,484,0,3601.0,0.0,2045.0,Javascript,NaoTipada
goldfire/howler.js,https://github.com/goldfire/howler.js,21639,94,22,889.0,21.0,263.0,Javascript,NaoTipada
bevacqua/dragula,https://github.com/bevacqua/dragula,21524,40,10,366.0,17.0,189.0,Javascript,NaoTipada
jlmakes/scrollreveal,https://github.com/jlmakes/scrollreveal,21495,22,9,950.0,72.0,53.0,Javascript,NaoTipada
vuejs/vuepress,https://github.com/vuejs/vuepress,21492,428,0,2145.0,81.0,1216.0,Javascript,NaoTipada
highlightjs/highlight.js,https://github.com/highlightjs/highlight.js,21466,639,26,6508.0,493.0,1801.0,Javascript,NaoTipada
chenglou/react-motion,https://github.com/chenglou/react-motion,21456,72,1,809.0,15.0,228.0,Javascript,NaoTipada
jaredhanson/passport,https://github.com/jaredhanson/passport,21439,34,1,617.0,2.0,150.0,Javascript,NaoTipada
validatorjs/validator.js,https://github.com/validatorjs/validator.js,21239,445,0,2205.0,0.0,1221.0,Javascript,NaoTipada
pugjs/pug,https://github.com/pugjs/pug,21224,252,13,2572.0,108.0,853.0,Javascript,NaoTipada
zadam/trilium,https://github.com/zadam/trilium,21079,82,0,6374.0,372.0,286.0,Javascript,NaoTipada
gchq/CyberChef,https://github.com/gchq/CyberChef,21068,225,71,3570.0,170.0,613.0,Javascript,NaoTipada
paularmstrong/normalizr,https://github.com/paularmstrong/normalizr,20985,60,0,455.0,0.0,193.0,Javascript,NaoTipada
postcss/autoprefixer,https://github.com/postcss/autoprefixer,20972,192,5,2610.0,95.0,335.0,Javascript,NaoTipada
necolas/react-native-web,https://github.com/necolas/react-native-web,20722,166,7,1930.0,122.0,699.0,Javascript,NaoTipada
ai/nanoid,https://github.com/ai/nanoid,20681,119,0,968.0,0.0,202.0,Javascript,NaoTipada
js-cookie/js-cookie,https://github.com/js-cookie/js-cookie,20626,48,0,868.0,92.0,256.0,Javascript,NaoTipada
winstonjs/winston,https://github.com/winstonjs/winston,20463,356,74,1515.0,64.0,917.0,Javascript,NaoTipada
Meituan-Dianping/mpvue,https://github.com/Meituan-Dianping/mpvue,20424,166,3,2328.0,22.0,148.0,Javascript,NaoTipada
avajs/ava,https://github.com/avajs/ava,20338,300,11,1965.0,233.0,1378.0,Javascript,NaoTipada
eligrey/FileSaver.js,https://github.com/eligrey/FileSaver.js,20320,58,0,332.0,6.0,163.0,Javascript,NaoTipada
benweet/stackedit,https://github.com/benweet/stackedit,20306,9,29,313.0,69.0,132.0,Javascript,NaoTipada
petkaantonov/bluebird,https://github.com/petkaantonov/bluebird,20288,243,11,2112.0,57.0,550.0,Javascript,NaoTipada
parse-community/parse-server,https://github.com/parse-community/parse-server,20226,298,0,4179.0,0.0,4135.0,Javascript,NaoTipada
chalk/chalk,https://github.com/chalk/chalk,20109,56,0,347.0,20.0,172.0,Javascript,NaoTipada
philc/vimium,https://github.com/philc/vimium,20074,145,0,4501.0,0.0,1033.0,Javascript,NaoTipada
shimohq/chinese-programmer-wrong-pronunciation,https://github.com/shimohq/chinese-programmer-wrong-pronunciation,20043,91,0,445.0,0.0,173.0,Javascript,NaoTipada
enzymejs/enzyme,https://github.com/enzymejs/enzyme,19974,367,26,2012.0,135.0,810.0,Javascript,NaoTipada
hapijs/joi,https://github.com/hapijs/joi,19894,219,8,2409.0,284.0,656.0,Javascript,NaoTipada
badges/shields,https://github.com/badges/shields,19851,477,20,,283.0,6650.0,Javascript,NaoTipada
responsively-org/responsively-app,https://github.com/responsively-org/responsively-app,19848,60,14,,50.0,407.0,Javascript,NaoTipada
websockets/ws,https://github.com/websockets/ws,19794,182,0,,0.0,686.0,Javascript,NaoTipada
FredKSchott/snowpack,https://github.com/FredKSchott/snowpack,19657,402,26,,58.0,1497.0,Javascript,NaoTipada
Reactive-Extensions/RxJS,https://github.com/Reactive-Extensions/RxJS,19570,284,0,,0.0,637.0,Javascript,NaoTipada
typicode/lowdb,https://github.com/typicode/lowdb,19484,34,0,,1.0,143.0,Javascript,NaoTipada
Popmotion/popmotion,https://github.com/Popmotion/popmotion,19410,64,0,,40.0,368.0,Javascript,NaoTipada
segmentio/nightmare,https://github.com/segmentio/nightmare,19374,129,13,,36.0,410.0,Javascript,NaoTipada
processing/p5.js,https://github.com/processing/p5.js,19321,572,80,,547.0,2578.0,Javascript,NaoTipada
svg/svgo,https://github.com/svg/svgo,19177,177,77,,160.0,614.0,Javascript,NaoTipada
vuejs/vue-router,https://github.com/vuejs/vue-router,18984,329,6,,85.0,957.0,Javascript,NaoTipada
nuysoft/Mock,https://github.com/nuysoft/Mock,18956,5,3,,8.0,50.0,Javascript,NaoTipada
ToolJet/ToolJet,https://github.com/ToolJet/ToolJet,18946,331,141,,1260.0,3530.0,Javascript,NaoTipada
jorgebucaran/hyperapp,https://github.com/jorgebucaran/hyperapp,18937,100,2,,55.0,500.0,Javascript,NaoTipada
SortableJS/Vue.Draggable,https://github.com/SortableJS/Vue.Draggable,18795,36,0,,0.0,148.0,Javascript,NaoTipada
jsdom/jsdom,https://github.com/jsdom/jsdom,18765,309,20,,170.0,1349.0,Javascript,NaoTipada
facebookexperimental/Recoil,https://github.com/facebookexperimental/Recoil,18688,103,15,,49.0,1027.0,Javascript,NaoTipada
wekan/wekan,https://github.com/wekan/wekan,18602,244,249,,385.0,1253.0,Javascript,NaoTipada
eggjs/egg,https://github.com/eggjs/egg,18488,207,4,,42.0,1200.0,Javascript,NaoTipada
semantic-release/semantic-release,https://github.com/semantic-release/semantic-release,17848,207,3,,5.0,1105.0,Javascript,NaoTipada
mysqljs/mysql,https://github.com/mysqljs/mysql,17789,131,8,,66.0,391.0,Javascript,NaoTipada
handsontable/handsontable,https://github.com/handsontable/handsontable,17788,115,281,,2131.0,2183.0,Javascript,NaoTipada
testing-library/react-testing-library,https://github.com/testing-library/react-testing-library,17788,177,2,,18.0,458.0,Javascript,NaoTipada
MichMich/MagicMirror,https://github.com/MichMich/MagicMirror,17734,302,6,,35.0,1622.0,Javascript,NaoTipada
basecamp/trix,https://github.com/basecamp/trix,17588,69,10,,9.0,273.0,Javascript,NaoTipada
knex/knex,https://github.com/knex/knex,17504,523,41,,171.0,2022.0,Javascript,NaoTipada
facebookarchive/flux,https://github.com/facebookarchive/flux,17412,135,1,,7.0,324.0,Javascript,NaoTipada
EastWorld/wechat-app-mall,https://github.com/EastWorld/wechat-app-mall,17376,28,0,,0.0,75.0,Javascript,NaoTipada
dropzone/dropzone,https://github.com/dropzone/dropzone,17308,71,3,,35.0,251.0,Javascript,NaoTipada
framework7io/framework7,https://github.com/framework7io/framework7,17260,142,0,,0.0,687.0,Javascript,NaoTipada
julianshapiro/velocity,https://github.com/julianshapiro/velocity,17213,50,5,,73.0,116.0,Javascript,NaoTipada
BoostIO/BoostNote-Legacy,https://github.com/BoostIO/BoostNote-Legacy,17185,238,0,,0.0,1364.0,Javascript,NaoTipada
handlebars-lang/handlebars.js,https://github.com/handlebars-lang/handlebars.js,17163,182,14,,132.0,522.0,Javascript,NaoTipada
motdotla/dotenv,https://github.com/motdotla/dotenv,17081,68,0,,0.0,292.0,Javascript,NaoTipada
