nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,medianBugFixTime,clossedIssues,pullrequestsCount
facebook/react,https://github.com/facebook/react,206945,1705,0,15798.0,59.02708333333334,945.0,13543.0
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,169525,198,1,1097.0,72.27625,12.0,671.0
twbs/bootstrap,https://github.com/twbs/bootstrap,163284,1355,0,22399.0,0.0,0.0,14568.0
vercel/next.js,https://github.com/vercel/next.js,105642,2637,0,15731.0,0.0,0.0,15746.0
d3/d3,https://github.com/d3/d3,105230,125,0,4355.0,1123.7440277777778,235.0,1114.0
axios/axios,https://github.com/axios/axios,100051,421,0,1450.0,0.0,0.0,1363.0
facebook/create-react-app,https://github.com/facebook/create-react-app,99659,997,0,2800.0,0.0,0.0,4161.0
nodejs/node,https://github.com/nodejs/node,95178,3226,0,38858.0,0.0,0.0,30331.0
mrdoob/three.js,https://github.com/mrdoob/three.js,91374,1751,32,41530.0,39.97166666666666,1162.0,14155.0
mui/material-ui,https://github.com/mui/material-ui,86488,2744,0,21801.0,0.0,0.0,18990.0
FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,71375,20,139,13.0,305.1690277777778,573.0,665.0
typicode/json-server,https://github.com/typicode/json-server,66709,75,3,872.0,0.0,0.0,356.0
iptv-org/iptv,https://github.com/iptv-org/iptv,64429,225,0,25961.0,0.0,0.0,5960.0
hakimel/reveal.js,https://github.com/hakimel/reveal.js,63680,306,5,2964.0,1564.7302777777777,46.0,1008.0
webpack/webpack,https://github.com/webpack/webpack,63032,795,54,15803.0,455.13694444444445,1063.0,6195.0
expressjs/express,https://github.com/expressjs/express,60774,326,3,5771.0,72.33805555555556,93.0,1154.0
chartjs/Chart.js,https://github.com/chartjs/Chart.js,60506,462,0,4437.0,29.92055555555556,1975.0,3689.0
atom/atom,https://github.com/atom/atom,59368,503,78,38533.0,1955.926805555556,1927.0,5281.0
angular/angular.js,https://github.com/angular/angular.js,59177,1703,0,9073.0,230.9475,1500.0,7999.0
adam-p/markdown-here,https://github.com/adam-p/markdown-here,58724,12,23,807.0,737.5911111111111,63.0,82.0
jquery/jquery,https://github.com/jquery/jquery,57444,287,12,6612.0,1140.1336111111111,107.0,2843.0
mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,57287,437,0,7389.0,0.0,0.0,1893.0
lodash/lodash,https://github.com/lodash/lodash,56245,312,7,8005.0,1.7647222222222223,234.0,1326.0
anuraghazra/github-readme-stats,https://github.com/anuraghazra/github-readme-stats,54877,256,22,739.0,18.42013888888889,190.0,1458.0
gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,54405,3960,0,21387.0,44.66541666666667,3517.0,21562.0
strapi/strapi,https://github.com/strapi/strapi,53560,899,0,29918.0,0.0,0.0,7892.0
Semantic-Org/Semantic-UI,https://github.com/Semantic-Org/Semantic-UI,50555,214,0,6747.0,0.0,0.0,878.0
moment/moment,https://github.com/moment/moment,47357,593,12,3980.0,1808.8391666666664,241.0,2033.0
