nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada,CommitsPerPullrequests,CycleComplexity,CodeSmell,medianBugFixTime,total_issues
facebook/react,https://github.com/facebook/react,206945,1705,0,15798.0,949.0,13543.0,Javascript,NaoTipada,1.1665066824189618,782,214,62.11430555555555,949.0
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,169525,198,1,1097.0,12.0,671.0,Javascript,NaoTipada,1.6348733233979136,2359,68,72.27625,13.0
twbs/bootstrap,https://github.com/twbs/bootstrap,163284,1355,0,22399.0,0.0,14568.0,Javascript,NaoTipada,1.5375480505216914,3379,84,0.0,0.0
vercel/next.js,https://github.com/vercel/next.js,105642,2637,0,15731.0,0.0,15746.0,Javascript,NaoTipada,0.9990473771116474,8187,1520,0.0,0.0
d3/d3,https://github.com/d3/d3,105230,125,0,4355.0,235.0,1114.0,Javascript,NaoTipada,3.9093357271095153,8,0,1123.7440277777778,235.0
axios/axios,https://github.com/axios/axios,100051,421,0,1450.0,0.0,1363.0,Javascript,NaoTipada,1.0638297872340423,1648,185,0.0,0.0
facebook/create-react-app,https://github.com/facebook/create-react-app,99659,997,0,2800.0,0.0,4161.0,Javascript,NaoTipada,0.6729151646238885,1888,172,0.0,0.0
nodejs/node,https://github.com/nodejs/node,95178,3226,0,38858.0,0.0,30331.0,Javascript,NaoTipada,1.281131515611091,34782,7980,0.0,0.0
mrdoob/three.js,https://github.com/mrdoob/three.js,91374,1751,32,41530.0,1163.0,14155.0,Javascript,NaoTipada,2.9339456022606853,50074,13904,39.97166666666666,1195.0
mui/material-ui,https://github.com/mui/material-ui,86488,2744,0,21801.0,0.0,18990.0,Javascript,NaoTipada,1.1480252764612957,27533,2060,0.0,0.0
FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,71375,20,139,13.0,573.0,665.0,Javascript,NaoTipada,0.0195488721804511,1668,16467,305.1690277777778,712.0
typicode/json-server,https://github.com/typicode/json-server,66709,75,3,872.0,0.0,356.0,Javascript,NaoTipada,2.449438202247191,506,7,0.0,3.0
iptv-org/iptv,https://github.com/iptv-org/iptv,64429,225,0,25961.0,0.0,5960.0,Javascript,NaoTipada,4.355872483221477,298,17,0.0,0.0
hakimel/reveal.js,https://github.com/hakimel/reveal.js,63680,306,5,2964.0,46.0,1008.0,Javascript,NaoTipada,2.9404761904761907,1674,170,1564.7302777777777,51.0
webpack/webpack,https://github.com/webpack/webpack,63032,795,54,15803.0,1064.0,6195.0,Javascript,NaoTipada,2.5509281678773204,9495,2084,455.13694444444445,1118.0
expressjs/express,https://github.com/expressjs/express,60774,326,3,5771.0,93.0,1154.0,Javascript,NaoTipada,5.000866551126516,3366,1580,72.33805555555556,96.0
chartjs/Chart.js,https://github.com/chartjs/Chart.js,60506,462,0,4437.0,1977.0,3689.0,Javascript,NaoTipada,1.2027649769585254,6176,1886,29.92055555555556,1977.0
atom/atom,https://github.com/atom/atom,59368,503,78,38533.0,1927.0,5281.0,Javascript,NaoTipada,7.296534747206969,16293,440,1955.926805555556,2005.0
angular/angular.js,https://github.com/angular/angular.js,59177,1703,0,9073.0,1500.0,7999.0,Javascript,NaoTipada,1.1342667833479183,31602,12980,230.9475,1500.0
adam-p/markdown-here,https://github.com/adam-p/markdown-here,58724,12,23,807.0,63.0,82.0,Javascript,NaoTipada,9.841463414634148,2155,1268,737.5911111111111,86.0
