nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,pullrequestsCount
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,158364,1020,4,2790
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,135689,13,0,372
Significant-Gravitas/Auto-GPT,https://github.com/Significant-Gravitas/Auto-GPT,127882,274,40,1903
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,120147,790,52,18711
huggingface/transformers,https://github.com/huggingface/transformers,98601,1877,10,12811
nvbn/thefuck,https://github.com/nvbn/thefuck,77268,182,2,1636
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,73242,403,53,4267
django/django,https://github.com/django/django,70414,2388,0,31696
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,68532,16,0,156
pytorch/pytorch,https://github.com/pytorch/pytorch,66522,2747,117,59956
pallets/flask,https://github.com/pallets/flask,62874,704,0,5066
home-assistant/core,https://github.com/home-assistant/core,60246,3212,4,62062
keras-team/keras,https://github.com/keras-team/keras,58267,1133,0,8162
tiangolo/fastapi,https://github.com/tiangolo/fastapi,57654,464,0,2829
ansible/ansible,https://github.com/ansible/ansible,57281,5494,454,53687
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,54145,2657,245,29955
3b1b/manim,https://github.com/3b1b/manim,51140,146,47,5774
psf/requests,https://github.com/psf/requests,49500,625,12,6151
ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,48176,51,0,238
soimort/you-get,https://github.com/soimort/you-get,47308,224,0,2512
scrapy/scrapy,https://github.com/scrapy/scrapy,47120,519,75,9781
localstack/localstack,https://github.com/localstack/localstack,47052,472,222,4391
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,46941,1114,67,21670
deepfakes/faceswap,https://github.com/deepfakes/faceswap,44774,87,2,1723
d2l-ai/d2l-zh,https://github.com/d2l-ai/d2l-zh,43299,258,0,4096
Textualize/rich,https://github.com/Textualize/rich,43194,215,0,3760
CorentinJ/Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning,41591,18,1,296
sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,41023,195,9,2097
commaai/openpilot,https://github.com/commaai/openpilot,39283,449,94,9248
iperov/DeepFaceLab,https://github.com/iperov/DeepFaceLab,39132,19,0,1313
nomic-ai/gpt4all,https://github.com/nomic-ai/gpt4all,38516,27,0,267
pandas-dev/pandas,https://github.com/pandas-dev/pandas,38279,2921,1595,32361
ultralytics/yolov5,https://github.com/ultralytics/yolov5,38234,311,48,2647
hwchase17/langchain,https://github.com/hwchase17/langchain,36506,658,3,1831
openai/whisper,https://github.com/openai/whisper,35709,62,0,115
apachecn/ailearning,https://github.com/apachecn/ailearning,35368,101,0,233
chubin/cheat.sh,https://github.com/chubin/cheat.sh,35258,51,5,901
google-research/bert,https://github.com/google-research/bert,34172,31,0,111
getsentry/sentry,https://github.com/getsentry/sentry,34122,720,51,53574
xtekky/gpt4free,https://github.com/xtekky/gpt4free,34080,65,9,466
shadowsocks/shadowsocks,https://github.com/shadowsocks/shadowsocks,33360,2,0,1
binary-husky/gpt_academic,https://github.com/binary-husky/gpt_academic,32629,39,10,897
microsoft/TaskMatrix,https://github.com/microsoft/TaskMatrix,32572,20,0,103
psf/black,https://github.com/psf/black,32284,374,0,1550
LAION-AI/Open-Assistant,https://github.com/LAION-AI/Open-Assistant,32196,282,17,3259
XX-net/XX-Net,https://github.com/XX-net/XX-Net,31991,73,0,2497
openai/gym,https://github.com/openai/gym,31311,721,0,1757
testerSunshine/12306,https://github.com/testerSunshine/12306,31032,24,2,435
mitmproxy/mitmproxy,https://github.com/mitmproxy/mitmproxy,30945,427,0,10321
Z4nzu/hackingtool,https://github.com/Z4nzu/hackingtool,30181,30,3,262
PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,30170,147,4,5997
apache/airflow,https://github.com/apache/airflow,30116,2477,0,19662
certbot/certbot,https://github.com/certbot/certbot,29896,473,46,10783
mingrammer/diagrams,https://github.com/mingrammer/diagrams,29892,127,4,511
hankcs/HanLP,https://github.com/hankcs/HanLP,28986,35,2,1735
babysor/MockingBird,https://github.com/babysor/MockingBird,28633,34,4,176
TencentARC/GFPGAN,https://github.com/TencentARC/GFPGAN,28534,14,0,106
ccxt/ccxt,https://github.com/ccxt/ccxt,28151,615,173,72785
httpie/httpie,https://github.com/httpie/httpie,27612,145,31,1746
sqlmapproject/sqlmap,https://github.com/sqlmapproject/sqlmap,26933,116,1,10069
explosion/spaCy,https://github.com/explosion/spaCy,26064,647,16,15902
facebookresearch/Detectron,https://github.com/facebookresearch/Detectron,25738,77,0,142
encode/django-rest-framework,https://github.com/encode/django-rest-framework,25495,1209,8,8679
ray-project/ray,https://github.com/ray-project/ray,25490,822,1063,17221
acheong08/ChatGPT,https://github.com/acheong08/ChatGPT,25320,122,0,1467
huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,25139,220,8,1860
python-poetry/poetry,https://github.com/python-poetry/poetry,24947,469,0,2838
facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,24766,230,5,1465
ycm-core/YouCompleteMe,https://github.com/ycm-core/YouCompleteMe,24749,162,0,3090
tqdm/tqdm,https://github.com/tqdm/tqdm,24719,109,0,1940
streamlit/streamlit,https://github.com/streamlit/streamlit,24532,177,0,5500
google/python-fire,https://github.com/google/python-fire,24491,63,10,287
Ebazhanov/linkedin-skill-assessments-quizzes,https://github.com/Ebazhanov/linkedin-skill-assessments-quizzes,24478,1363,1,6025
microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,24241,221,260,1513
open-mmlab/mmdetection,https://github.com/open-mmlab/mmdetection,24092,398,30,2539
