nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,158364,1020,4,2790,14.0,6986.0,Python,NaoTipada
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,135689,13,0,372,0.0,319.0,Python,NaoTipada
Significant-Gravitas/Auto-GPT,https://github.com/Significant-Gravitas/Auto-GPT,127882,274,40,1903,62.0,1586.0,Python,NaoTipada
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,120147,790,52,18711,312.0,4844.0,Python,NaoTipada
huggingface/transformers,https://github.com/huggingface/transformers,98601,1877,10,12811,607.0,11658.0,Python,NaoTipada
nvbn/thefuck,https://github.com/nvbn/thefuck,77268,182,2,1636,7.0,667.0,Python,NaoTipada
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,73242,403,53,4267,246.0,1787.0,Python,NaoTipada
django/django,https://github.com/django/django,70414,2388,0,31696,0.0,16799.0,Python,NaoTipada
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,68532,16,0,156,0.0,31.0,Python,NaoTipada
pytorch/pytorch,https://github.com/pytorch/pytorch,66522,2747,117,59956,81.0,67544.0,Python,NaoTipada
pallets/flask,https://github.com/pallets/flask,62874,704,0,5066,36.0,2396.0,Python,NaoTipada
home-assistant/core,https://github.com/home-assistant/core,60246,3212,4,62062,176.0,53983.0,Python,NaoTipada
keras-team/keras,https://github.com/keras-team/keras,58267,1133,0,8162,0.0,6366.0,Python,NaoTipada
tiangolo/fastapi,https://github.com/tiangolo/fastapi,57654,464,0,2829,82.0,2271.0,Python,NaoTipada
ansible/ansible,https://github.com/ansible/ansible,57281,5494,454,53687,18946.0,49124.0,Python,NaoTipada
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,54145,2657,245,29955,1458.0,15448.0,Python,NaoTipada
3b1b/manim,https://github.com/3b1b/manim,51140,146,47,5774,71.0,781.0,Python,NaoTipada
psf/requests,https://github.com/psf/requests,49500,625,12,6151,117.0,2395.0,Python,NaoTipada
ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,48176,51,0,238,0.0,214.0,Python,NaoTipada
soimort/you-get,https://github.com/soimort/you-get,47308,224,0,2512,0.0,1045.0,Python,NaoTipada
scrapy/scrapy,https://github.com/scrapy/scrapy,47120,519,75,9781,246.0,3066.0,Python,NaoTipada
localstack/localstack,https://github.com/localstack/localstack,47052,472,222,4391,1448.0,3793.0,Python,NaoTipada
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,46941,1114,67,21670,492.0,1952.0,Python,NaoTipada
deepfakes/faceswap,https://github.com/deepfakes/faceswap,44774,87,2,1723,33.0,503.0,Python,NaoTipada
d2l-ai/d2l-zh,https://github.com/d2l-ai/d2l-zh,43299,258,0,4096,0.0,1258.0,Python,NaoTipada
Textualize/rich,https://github.com/Textualize/rich,43194,215,0,3760,70.0,961.0,Python,NaoTipada
CorentinJ/Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning,41591,18,1,296,5.0,117.0,Python,NaoTipada
sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,41023,195,9,2097,134.0,875.0,Python,NaoTipada
commaai/openpilot,https://github.com/commaai/openpilot,39283,449,94,9248,716.0,9046.0,Python,NaoTipada
iperov/DeepFaceLab,https://github.com/iperov/DeepFaceLab,39132,19,0,1313,0.0,123.0,Python,NaoTipada
nomic-ai/gpt4all,https://github.com/nomic-ai/gpt4all,38516,27,0,267,2.0,77.0,Python,NaoTipada
pandas-dev/pandas,https://github.com/pandas-dev/pandas,38279,2921,1595,32361,5963.0,28643.0,Python,NaoTipada
ultralytics/yolov5,https://github.com/ultralytics/yolov5,38234,311,48,2647,1205.0,2445.0,Python,NaoTipada
hwchase17/langchain,https://github.com/hwchase17/langchain,36506,658,3,1831,2.0,2814.0,Python,NaoTipada
openai/whisper,https://github.com/openai/whisper,35709,62,0,115,0.0,144.0,Python,NaoTipada
apachecn/ailearning,https://github.com/apachecn/ailearning,35368,101,0,233,0.0,528.0,Python,NaoTipada
chubin/cheat.sh,https://github.com/chubin/cheat.sh,35258,51,5,901,3.0,153.0,Python,NaoTipada
google-research/bert,https://github.com/google-research/bert,34172,31,0,111,0.0,199.0,Python,NaoTipada
getsentry/sentry,https://github.com/getsentry/sentry,34122,720,51,53574,170.0,41063.0,Python,NaoTipada
xtekky/gpt4free,https://github.com/xtekky/gpt4free,34080,65,9,466,12.0,151.0,Python,NaoTipada
shadowsocks/shadowsocks,https://github.com/shadowsocks/shadowsocks,33360,2,0,1,0.0,159.0,Python,NaoTipada
binary-husky/gpt_academic,https://github.com/binary-husky/gpt_academic,32629,39,10,897,10.0,76.0,Python,NaoTipada
microsoft/TaskMatrix,https://github.com/microsoft/TaskMatrix,32572,20,0,103,0.0,89.0,Python,NaoTipada
psf/black,https://github.com/psf/black,32284,374,0,1550,0.0,1380.0,Python,NaoTipada
LAION-AI/Open-Assistant,https://github.com/LAION-AI/Open-Assistant,32196,282,17,3259,122.0,1668.0,Python,NaoTipada
XX-net/XX-Net,https://github.com/XX-net/XX-Net,31991,73,0,2497,0.0,484.0,Python,NaoTipada
openai/gym,https://github.com/openai/gym,31311,721,0,1757,1.0,1439.0,Python,NaoTipada
testerSunshine/12306,https://github.com/testerSunshine/12306,31032,24,2,435,9.0,146.0,Python,NaoTipada
mitmproxy/mitmproxy,https://github.com/mitmproxy/mitmproxy,30945,427,0,10321,0.0,2572.0,Python,NaoTipada
Z4nzu/hackingtool,https://github.com/Z4nzu/hackingtool,30181,30,3,262,4.0,81.0,Python,NaoTipada
PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,30170,147,4,5997,13.0,2571.0,Python,NaoTipada
apache/airflow,https://github.com/apache/airflow,30116,2477,0,19662,0.0,20939.0,Python,NaoTipada
certbot/certbot,https://github.com/certbot/certbot,29896,473,46,10783,355.0,4501.0,Python,NaoTipada
mingrammer/diagrams,https://github.com/mingrammer/diagrams,29892,127,4,511,7.0,441.0,Python,NaoTipada
hankcs/HanLP,https://github.com/hankcs/HanLP,28986,35,2,1735,119.0,125.0,Python,NaoTipada
babysor/MockingBird,https://github.com/babysor/MockingBird,28633,34,4,176,6.0,82.0,Python,NaoTipada
TencentARC/GFPGAN,https://github.com/TencentARC/GFPGAN,28534,14,0,106,0.0,39.0,Python,NaoTipada
ccxt/ccxt,https://github.com/ccxt/ccxt,28151,615,173,72785,711.0,9187.0,Python,NaoTipada
httpie/httpie,https://github.com/httpie/httpie,27612,145,31,1746,120.0,582.0,Python,NaoTipada
sqlmapproject/sqlmap,https://github.com/sqlmapproject/sqlmap,26933,116,1,10069,1001.0,350.0,Python,NaoTipada
explosion/spaCy,https://github.com/explosion/spaCy,26064,647,16,15902,758.0,3739.0,Python,NaoTipada
facebookresearch/Detectron,https://github.com/facebookresearch/Detectron,25738,77,0,142,5.0,100.0,Python,NaoTipada
encode/django-rest-framework,https://github.com/encode/django-rest-framework,25495,1209,8,8679,321.0,4524.0,Python,NaoTipada
ray-project/ray,https://github.com/ray-project/ray,25490,822,1063,17221,4597.0,21215.0,Python,NaoTipada
acheong08/ChatGPT,https://github.com/acheong08/ChatGPT,25320,122,0,1467,276.0,328.0,Python,NaoTipada
huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,25139,220,8,1860,246.0,342.0,Python,NaoTipada
python-poetry/poetry,https://github.com/python-poetry/poetry,24947,469,0,2838,0.0,2354.0,Python,NaoTipada
facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,24766,230,5,1465,22.0,608.0,Python,NaoTipada
ycm-core/YouCompleteMe,https://github.com/ycm-core/YouCompleteMe,24749,162,0,3090,16.0,960.0,Python,NaoTipada
tqdm/tqdm,https://github.com/tqdm/tqdm,24719,109,0,1940,0.0,512.0,Python,NaoTipada
streamlit/streamlit,https://github.com/streamlit/streamlit,24532,177,0,5500,0.0,3325.0,Python,NaoTipada
google/python-fire,https://github.com/google/python-fire,24491,63,10,287,23.0,162.0,Python,NaoTipada
Ebazhanov/linkedin-skill-assessments-quizzes,https://github.com/Ebazhanov/linkedin-skill-assessments-quizzes,24478,1363,1,6025,0.0,4824.0,Python,NaoTipada
microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,24241,221,260,1513,446.0,1754.0,Python,NaoTipada
open-mmlab/mmdetection,https://github.com/open-mmlab/mmdetection,24092,398,30,2539,171.0,2874.0,Python,NaoTipada
pypa/pipenv,https://github.com/pypa/pipenv,23828,440,0,8303,0.0,1686.0,Python,NaoTipada
littlecodersh/ItChat,https://github.com/littlecodersh/ItChat,23797,19,3,188,63.0,107.0,Python,NaoTipada
THUDM/ChatGLM-6B,https://github.com/THUDM/ChatGLM-6B,23486,48,1,325,2.0,95.0,Python,NaoTipada
beurtschipper/Depix,https://github.com/beurtschipper/Depix,23456,10,0,54,0.0,28.0,Python,NaoTipada
numpy/numpy,https://github.com/numpy/numpy,23449,1479,0,32271,0.0,12275.0,Python,NaoTipada
getredash/redash,https://github.com/getredash/redash,23104,392,45,7314,256.0,3662.0,Python,NaoTipada
google/jax,https://github.com/google/jax,23046,515,424,16017,1267.0,9886.0,Python,NaoTipada
matterport/Mask_RCNN,https://github.com/matterport/Mask_RCNN,23026,46,0,203,0.0,278.0,Python,NaoTipada
Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,22908,846,193,9247,2403.0,8885.0,Python,NaoTipada
nicolargo/glances,https://github.com/nicolargo/glances,22765,149,22,4835,465.0,667.0,Python,NaoTipada
microsoft/cascadia-code,https://github.com/microsoft/cascadia-code,22453,10000,0,196,0.0,94.0,Python,NaoTipada
