nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,pullrequestsCount,medianBugFixTime,clossedIssues
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,158364,1020,4,2790,6986.0,22.009722222222223,14.0
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,135689,13,0,372,319.0,0.0,0.0
Significant-Gravitas/Auto-GPT,https://github.com/Significant-Gravitas/Auto-GPT,127882,274,40,1903,1586.0,77.51249999999999,62.0
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,120147,790,52,18711,4844.0,252.5981944444445,312.0
huggingface/transformers,https://github.com/huggingface/transformers,98601,1877,10,12811,11658.0,597.43375,607.0
nvbn/thefuck,https://github.com/nvbn/thefuck,77268,182,2,1636,667.0,9462.773055555555,7.0
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,73242,403,53,4267,1787.0,125.56902777777778,246.0
django/django,https://github.com/django/django,70414,2388,0,31696,16799.0,0.0,0.0
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,68532,16,0,156,31.0,0.0,0.0
pytorch/pytorch,https://github.com/pytorch/pytorch,66522,2747,117,59956,67544.0,1000.2775,81.0
pallets/flask,https://github.com/pallets/flask,62874,704,0,5066,2396.0,883.4561111111111,36.0
home-assistant/core,https://github.com/home-assistant/core,60246,3212,4,62062,53983.0,258.7705555555556,176.0
keras-team/keras,https://github.com/keras-team/keras,58267,1133,0,8162,6366.0,0.0,0.0
tiangolo/fastapi,https://github.com/tiangolo/fastapi,57654,464,0,2829,2271.0,705.7219444444445,82.0
ansible/ansible,https://github.com/ansible/ansible,57281,5494,454,53687,49124.0,30.105416666666663,18946.0
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,54145,2657,245,29955,15448.0,78.29861111111111,1458.0
3b1b/manim,https://github.com/3b1b/manim,51140,146,47,5774,781.0,34.96138888888889,71.0
psf/requests,https://github.com/psf/requests,49500,625,12,6151,2395.0,970.7854166666668,117.0
ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,48176,51,0,238,214.0,0.0,0.0
soimort/you-get,https://github.com/soimort/you-get,47308,224,0,2512,1045.0,0.0,0.0
scrapy/scrapy,https://github.com/scrapy/scrapy,47120,519,75,9781,3066.0,419.58930555555554,246.0
localstack/localstack,https://github.com/localstack/localstack,47052,472,222,4391,3793.0,91.84791666666666,1448.0
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,46941,1114,67,21670,1952.0,16.976666666666667,492.0
deepfakes/faceswap,https://github.com/deepfakes/faceswap,44774,87,2,1723,503.0,338.5086111111111,33.0
d2l-ai/d2l-zh,https://github.com/d2l-ai/d2l-zh,43299,258,0,4096,1258.0,0.0,0.0
Textualize/rich,https://github.com/Textualize/rich,43194,215,0,3760,961.0,74.10611111111112,70.0
CorentinJ/Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning,41591,18,1,296,117.0,1148.0819444444444,5.0
sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,41023,195,9,2097,875.0,393.0865277777778,134.0
commaai/openpilot,https://github.com/commaai/openpilot,39283,449,94,9248,9046.0,70.19027777777778,716.0
iperov/DeepFaceLab,https://github.com/iperov/DeepFaceLab,39132,19,0,1313,123.0,0.0,0.0
nomic-ai/gpt4all,https://github.com/nomic-ai/gpt4all,38516,27,0,267,77.0,23.779027777777777,2.0
pandas-dev/pandas,https://github.com/pandas-dev/pandas,38279,2921,1595,32361,28643.0,34.06041666666667,5963.0
ultralytics/yolov5,https://github.com/ultralytics/yolov5,38234,311,48,2647,2445.0,980.4016666666666,1205.0
hwchase17/langchain,https://github.com/hwchase17/langchain,36506,658,3,1831,2814.0,379.4484722222222,2.0
openai/whisper,https://github.com/openai/whisper,35709,62,0,115,144.0,0.0,0.0
apachecn/ailearning,https://github.com/apachecn/ailearning,35368,101,0,233,528.0,0.0,0.0
