nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada
vuejs/vue,https://github.com/vuejs/vue,203495,385,41,3547,342.0,2407.0,Typescript,Tipada
microsoft/vscode,https://github.com/microsoft/vscode,145953,1846,1930,108519,26535.0,21080.0,Typescript,Tipada
angular/angular,https://github.com/angular/angular,88050,1728,46,27022,50.0,23968.0,Typescript,Tipada
ant-design/ant-design,https://github.com/ant-design/ant-design,85779,1880,0,25062,0.0,14017.0,Typescript,Tipada
puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,83070,461,132,3494,912.0,4049.0,Typescript,Tipada
storybookjs/storybook,https://github.com/storybookjs/storybook,78441,1712,1246,50287,3050.0,10401.0,Typescript,Tipada
gothinkster/realworld,https://github.com/gothinkster/realworld,74282,77,5,881,33.0,603.0,Typescript,Tipada
sveltejs/svelte,https://github.com/sveltejs/svelte,67501,593,81,7099,818.0,3394.0,Typescript,Tipada
coder/code-server,https://github.com/coder/code-server,60261,202,94,3557,850.0,1636.0,Typescript,Tipada
reduxjs/redux,https://github.com/reduxjs/redux,59559,952,1,3766,17.0,2435.0,Typescript,Tipada
socketio/socket.io,https://github.com/socketio/socket.io,58194,214,12,1973,235.0,836.0,Typescript,Tipada
nestjs/nest,https://github.com/nestjs/nest,56455,382,0,13319,0.0,6556.0,Typescript,Tipada
vitejs/vite,https://github.com/vitejs/vite,56010,776,28,5644,326.0,4461.0,Typescript,Tipada
grafana/grafana,https://github.com/grafana/grafana,55263,2503,0,42692,0.0,36042.0,Typescript,Tipada
apache/echarts,https://github.com/apache/echarts,55101,216,1182,9067,2015.0,1644.0,Typescript,Tipada
apache/superset,https://github.com/apache/superset,51852,951,0,13370,0.0,13281.0,Typescript,Tipada
hoppscotch/hoppscotch,https://github.com/hoppscotch/hoppscotch,51334,201,28,4779,253.0,1848.0,Typescript,Tipada
microsoft/playwright,https://github.com/microsoft/playwright,50383,10000,0,10508,0.0,11685.0,Typescript,Tipada
remix-run/react-router,https://github.com/remix-run/react-router,50266,878,24,6071,779.0,2880.0,Typescript,Tipada
supabase/supabase,https://github.com/supabase/supabase,49750,729,144,19194,1184.0,5666.0,Typescript,Tipada
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,47804,237,111,3067,419.0,3847.0,Typescript,Tipada
