nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,medianBugFixTime,clossedIssues,pullrequestsCount
vuejs/vue,https://github.com/vuejs/vue,203495,385,41,3547,411.30527777777775,342.0,2407.0
microsoft/vscode,https://github.com/microsoft/vscode,145953,1846,1930,108519,32.08,26535.0,21080.0
angular/angular,https://github.com/angular/angular,88050,1728,46,27022,792.1165277777777,50.0,23968.0
ant-design/ant-design,https://github.com/ant-design/ant-design,85779,1880,0,25062,0.0,0.0,14017.0
puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,83070,461,132,3494,12.62125,912.0,4049.0
storybookjs/storybook,https://github.com/storybookjs/storybook,78441,1712,1246,50287,63.12458333333333,3050.0,10401.0
gothinkster/realworld,https://github.com/gothinkster/realworld,74282,77,5,881,120.42777777777778,33.0,603.0
sveltejs/svelte,https://github.com/sveltejs/svelte,67501,593,81,7099,327.8961111111111,818.0,3394.0
coder/code-server,https://github.com/coder/code-server,60261,202,94,3557,72.98305555555555,850.0,1636.0
reduxjs/redux,https://github.com/reduxjs/redux,59559,952,1,3766,54.596944444444446,17.0,2435.0
socketio/socket.io,https://github.com/socketio/socket.io,58194,214,12,1973,95.58708333333334,235.0,836.0
nestjs/nest,https://github.com/nestjs/nest,56455,382,0,13319,0.0,0.0,6556.0
vitejs/vite,https://github.com/vitejs/vite,56010,776,28,5644,385.8670833333333,326.0,4461.0
grafana/grafana,https://github.com/grafana/grafana,55263,2503,0,42692,0.0,0.0,36042.0
apache/echarts,https://github.com/apache/echarts,55101,216,1182,9067,28.53180555555556,2015.0,1644.0
apache/superset,https://github.com/apache/superset,51852,951,0,13370,0.0,0.0,13281.0
hoppscotch/hoppscotch,https://github.com/hoppscotch/hoppscotch,51334,201,28,4779,37.26569444444445,253.0,1848.0
microsoft/playwright,https://github.com/microsoft/playwright,50383,10000,0,10508,0.0,0.0,11685.0
remix-run/react-router,https://github.com/remix-run/react-router,50266,878,24,6071,11.54125,779.0,2880.0
supabase/supabase,https://github.com/supabase/supabase,49750,729,144,19194,26.43402777777778,1184.0,5666.0
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,47804,237,111,3067,69.45430555555555,419.0,3847.0
facebook/docusaurus,https://github.com/facebook/docusaurus,44450,1134,90,5573,109.43222222222222,979.0,5417.0
DefinitelyTyped/DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,43925,9975,0,83903,0.0,0.0,55501.0
babel/babel,https://github.com/babel/babel,42222,1067,0,15761,0.0,0.0,6444.0
jestjs/jest,https://github.com/jestjs/jest,41940,1464,0,6809,0.0,0.0,6695.0
vercel/hyper,https://github.com/vercel/hyper,40854,449,0,3522,0.0,0.0,3399.0
pixijs/pixijs,https://github.com/pixijs/pixijs,39861,435,0,6473,0.0,0.0,3565.0
styled-components/styled-components,https://github.com/styled-components/styled-components,38779,343,0,3473,0.0,0.0,1231.0
vuejs/core,https://github.com/vuejs/core,37364,408,0,4917,0.0,0.0,3521.0
vuetifyjs/vuetify,https://github.com/vuetifyjs/vuetify,37103,815,0,14120,0.0,0.0,4529.0
streamich/react-use,https://github.com/streamich/react-use,36654,171,12,2947,129.66305555555556,17.0,1952.0
nocodb/nocodb,https://github.com/nocodb/nocodb,35821,140,0,14192,0.0,0.0,2140.0
RocketChat/Rocket.Chat,https://github.com/RocketChat/Rocket.Chat,35464,858,283,23478,740.5356944444445,1915.0,13571.0
react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form,34713,259,0,3453,8.295555555555556,438.0,2167.0
lerna/lerna,https://github.com/lerna/lerna,34536,311,58,2569,144.71944444444443,98.0,1172.0
TanStack/query,https://github.com/TanStack/query,34429,602,5,2022,148.24875,96.0,1643.0
ant-design/ant-design-pro,https://github.com/ant-design/ant-design-pro,34171,328,0,2471,0.0,0.0,1404.0
nativefier/nativefier,https://github.com/nativefier/nativefier,33534,136,103,1278,70.3788888888889,286.0,322.0
NervJS/taro,https://github.com/NervJS/taro,32869,504,8,9859,566.3877777777777,105.0,3511.0
chakra-ui/chakra-ui,https://github.com/chakra-ui/chakra-ui,32598,584,0,8906,0.0,0.0,2883.0
immutable-js/immutable-js,https://github.com/immutable-js/immutable-js,32570,212,5,1718,4651.792638888888,70.0,714.0
date-fns/date-fns,https://github.com/date-fns/date-fns,31500,373,0,1931,0.0,0.0,1542.0
prisma/prisma,https://github.com/prisma/prisma,31219,223,0,9222,0.0,0.0,5405.0
typeorm/typeorm,https://github.com/typeorm/typeorm,31168,976,1115,5256,276.20472222222224,1289.0,2585.0
appwrite/appwrite,https://github.com/appwrite/appwrite,31075,294,125,15011,90.33597222222222,745.0,2647.0
pmndrs/zustand,https://github.com/pmndrs/zustand,30575,198,1,888,1072.0156944444443,6.0,576.0
withastro/astro,https://github.com/withastro/astro,30175,507,0,5438,0.0,0.0,4208.0
n8n-io/n8n,https://github.com/n8n-io/n8n,30089,332,0,8594,0.0,0.0,5149.0
ReactiveX/rxjs,https://github.com/ReactiveX/rxjs,28842,544,16,5265,1412.4069444444444,194.0,3805.0
niklasvh/html2canvas,https://github.com/niklasvh/html2canvas,28159,50,35,1066,2826.2891666666665,75.0,472.0
solidjs/solid,https://github.com/solidjs/solid,27496,140,4,1605,96.70930555555556,187.0,361.0
postcss/postcss,https://github.com/postcss/postcss,27458,374,1,3880,139.10583333333332,73.0,868.0
ianstormtaylor/slate,https://github.com/ianstormtaylor/slate,26995,538,283,4056,160.3070833333333,762.0,2268.0
lyswhut/lx-music-desktop,https://github.com/lyswhut/lx-music-desktop,26836,7,7,1944,197.1588888888889,57.0,65.0
vercel/swr,https://github.com/vercel/swr,26649,475,8,774,281.5130555555556,85.0,822.0
slidevjs/slidev,https://github.com/slidevjs/slidev,26526,118,0,1378,21.92625,12.0,278.0
mobxjs/mobx,https://github.com/mobxjs/mobx,26427,309,0,3211,0.0,0.0,1229.0
cheeriojs/cheerio,https://github.com/cheeriojs/cheerio,26333,130,0,2536,0.0,0.0,2032.0
JedWatson/react-select,https://github.com/JedWatson/react-select,26094,423,0,4220,0.0,0.0,1702.0
angular/angular-cli,https://github.com/angular/angular-cli,26071,599,0,10446,0.0,0.0,10540.0
pmndrs/react-spring,https://github.com/pmndrs/react-spring,25631,185,0,3476,0.0,0.0,510.0
balena-io/etcher,https://github.com/balena-io/etcher,25489,85,0,3330,0.0,0.0,2001.0
trpc/trpc,https://github.com/trpc/trpc,25369,277,0,3080,0.0,0.0,3021.0
mattermost/mattermost-server,https://github.com/mattermost/mattermost-server,25344,766,0,16785,0.0,0.0,15852.0
floating-ui/floating-ui,https://github.com/floating-ui/floating-ui,25333,75,1,1808,56.672916666666666,293.0,970.0
