nameWithOwner,url,stargazers,mentionableUsers,openIssues,closedIssues,commitsCount
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,365529,4704,0,0,32978
vuejs/vue,https://github.com/vuejs/vue,203448,385,41,342,3547
microsoft/vscode,https://github.com/microsoft/vscode,145834,1844,1909,26490,108476
microsoft/TypeScript,https://github.com/microsoft/TypeScript,90973,725,2021,8367,34767
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,90293,139,0,0,1250
angular/angular,https://github.com/angular/angular,87987,1723,46,49,26979
ant-design/ant-design,https://github.com/ant-design/ant-design,85729,1876,0,0,25042
puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,83024,460,133,905,3489
storybookjs/storybook,https://github.com/storybookjs/storybook,78381,1704,1254,3025,50190
gothinkster/realworld,https://github.com/gothinkster/realworld,74242,77,5,33,880
sveltejs/svelte,https://github.com/sveltejs/svelte,67436,593,80,816,7096
coder/code-server,https://github.com/coder/code-server,60223,200,92,848,3554
reduxjs/redux,https://github.com/reduxjs/redux,59543,952,1,17,3759
socketio/socket.io,https://github.com/socketio/socket.io,58173,214,12,235,1973
nestjs/nest,https://github.com/nestjs/nest,56393,382,0,0,13319
vitejs/vite,https://github.com/vitejs/vite,55915,774,28,326,5640
grafana/grafana,https://github.com/grafana/grafana,55225,2499,0,0,42635
apache/echarts,https://github.com/apache/echarts,55068,216,1178,2012,9067
apache/superset,https://github.com/apache/superset,51813,951,0,0,13359
hoppscotch/hoppscotch,https://github.com/hoppscotch/hoppscotch,51291,201,31,249,4779
microsoft/playwright,https://github.com/microsoft/playwright,50311,10000,0,0,10494
remix-run/react-router,https://github.com/remix-run/react-router,50249,877,22,777,6066
supabase/supabase,https://github.com/supabase/supabase,49644,729,140,1181,19111
ionic-team/ionic-framework,https://github.com/ionic-team/ionic-framework,48994,491,0,0,12814
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,47671,237,112,418,3065
Eugeny/tabby,https://github.com/Eugeny/tabby,46841,106,0,0,5661
nuxt/nuxt,https://github.com/nuxt/nuxt,45142,450,94,873,4101
facebook/docusaurus,https://github.com/facebook/docusaurus,44362,1134,89,979,5572
DefinitelyTyped/DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,43882,9975,0,0,83878
babel/babel,https://github.com/babel/babel,42208,1066,0,0,15758
jestjs/jest,https://github.com/jestjs/jest,41926,1464,0,0,6809
vercel/hyper,https://github.com/vercel/hyper,40833,450,0,0,3522
pixijs/pixijs,https://github.com/pixijs/pixijs,39832,435,0,0,6473
styled-components/styled-components,https://github.com/styled-components/styled-components,38732,343,0,0,3473
vuejs/core,https://github.com/vuejs/core,37298,405,0,0,4903
vuetifyjs/vuetify,https://github.com/vuetifyjs/vuetify,37078,814,0,0,14106
streamich/react-use,https://github.com/streamich/react-use,36625,171,12,17,2947
nocodb/nocodb,https://github.com/nocodb/nocodb,35790,140,0,0,14169
laurent22/joplin,https://github.com/laurent22/joplin,35696,533,217,3046,9142
RocketChat/Rocket.Chat,https://github.com/RocketChat/Rocket.Chat,35429,858,0,0,23461
react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form,34680,259,0,438,3453
lerna/lerna,https://github.com/lerna/lerna,34532,310,0,0,2567
TanStack/query,https://github.com/TanStack/query,34397,600,5,96,2020
ant-design/ant-design-pro,https://github.com/ant-design/ant-design-pro,34158,328,0,0,2471
nativefier/nativefier,https://github.com/nativefier/nativefier,33503,136,103,286,1278
type-challenges/type-challenges,https://github.com/type-challenges/type-challenges,33479,213,15,15,834
NervJS/taro,https://github.com/NervJS/taro,32857,504,8,104,9840
immutable-js/immutable-js,https://github.com/immutable-js/immutable-js,32567,212,5,70,1718
chakra-ui/chakra-ui,https://github.com/chakra-ui/chakra-ui,32558,584,0,0,8903
jaredpalmer/formik,https://github.com/jaredpalmer/formik,32302,415,0,0,1712
date-fns/date-fns,https://github.com/date-fns/date-fns,31474,373,0,0,1931
