nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada,CommitsPerPullrequests,CycleComplexity,CodeSmell,medianBugFixTime,total_issues
vuejs/vue,https://github.com/vuejs/vue,203495,385,41,3547,342.0,2407.0,Typescript,Tipada,1.4736186123805568,10345.0,583.0,411.30527777777775,383.0
microsoft/vscode,https://github.com/microsoft/vscode,145953,1846,1930,108519,26591.0,21080.0,Typescript,Tipada,5.147960151802657,7475.0,1342.0,31.895,28521.0
angular/angular,https://github.com/angular/angular,88050,1728,46,27022,53.0,23968.0,Typescript,Tipada,1.1274198931909212,7349.0,4341.0,843.1580555555555,99.0
ant-design/ant-design,https://github.com/ant-design/ant-design,85779,1880,0,25062,0.0,14017.0,Typescript,Tipada,1.7879717485909967,507.0,16.0,0.0,0.0
puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,83070,461,132,3494,932.0,4049.0,Typescript,Tipada,0.862929118300815,1301.0,142.0,11.879722222222224,1064.0
storybookjs/storybook,https://github.com/storybookjs/storybook,78441,1712,1246,50287,3101.0,10401.0,Typescript,Tipada,4.834823574656283,3019.0,580.0,49.43902777777778,4347.0
gothinkster/realworld,https://github.com/gothinkster/realworld,74282,77,5,881,33.0,603.0,Typescript,Tipada,1.461028192371476,576.0,25.0,120.42777777777778,38.0
sveltejs/svelte,https://github.com/sveltejs/svelte,67501,593,81,7099,819.0,3394.0,Typescript,Tipada,2.091632292280495,5841.0,528.0,327.8961111111111,900.0
coder/code-server,https://github.com/coder/code-server,60261,202,94,3557,855.0,1636.0,Typescript,Tipada,2.174205378973105,1187.0,40.0,66.64666666666666,949.0
reduxjs/redux,https://github.com/reduxjs/redux,59559,952,1,3766,17.0,2435.0,Typescript,Tipada,1.546611909650924,1396.0,165.0,54.596944444444446,18.0
socketio/socket.io,https://github.com/socketio/socket.io,58194,214,12,1973,235.0,836.0,Typescript,Tipada,2.360047846889952,824.0,208.0,95.58708333333334,247.0
nestjs/nest,https://github.com/nestjs/nest,56455,382,0,13319,0.0,6556.0,Typescript,Tipada,2.031574130567419,11992.0,488.0,0.0,0.0
vitejs/vite,https://github.com/vitejs/vite,56010,776,28,5644,326.0,4461.0,Typescript,Tipada,1.2651871777628334,5809.0,312.0,385.8670833333333,354.0
grafana/grafana,https://github.com/grafana/grafana,55263,2503,0,42692,5295.0,36042.0,Typescript,Tipada,1.184506964097442,51158.0,5588.0,117.77791666666668,5295.0
apache/echarts,https://github.com/apache/echarts,55101,216,1182,9067,2040.0,1644.0,Typescript,Tipada,5.515206812652068,1365.0,2158.0,34.132222222222225,3222.0
apache/superset,https://github.com/apache/superset,51852,951,0,13370,0.0,13281.0,Typescript,Tipada,1.0067013026127551,23314.0,1462.0,0.0,0.0
hoppscotch/hoppscotch,https://github.com/hoppscotch/hoppscotch,51334,201,28,4779,256.0,1848.0,Typescript,Tipada,2.586038961038961,8973.0,454.0,39.08569444444444,284.0
microsoft/playwright,https://github.com/microsoft/playwright,50383,10000,0,10508,0.0,11685.0,Typescript,Tipada,0.8992725716730852,47304.0,8945.0,0.0,0.0
remix-run/react-router,https://github.com/remix-run/react-router,50266,878,24,6071,792.0,2880.0,Typescript,Tipada,2.107986111111111,311.0,12.0,11.230694444444442,816.0
supabase/supabase,https://github.com/supabase/supabase,49750,729,144,19194,1199.0,5666.0,Typescript,Tipada,3.387575008824568,3543.0,523.0,28.91333333333333,1343.0
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,47804,237,111,3067,420.0,3847.0,Typescript,Tipada,0.797244606186639,562.0,95.0,69.45430555555555,531.0
facebook/docusaurus,https://github.com/facebook/docusaurus,44450,1134,90,5573,980.0,5417.0,Typescript,Tipada,1.028798227801366,2542.0,125.0,109.43222222222222,1070.0
DefinitelyTyped/DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,43925,9975,0,83903,0.0,55501.0,Typescript,Tipada,1.5117385272337436,2093.0,1046.0,0.0,0.0
babel/babel,https://github.com/babel/babel,42222,1067,0,15761,0.0,6444.0,Typescript,Tipada,2.4458410924891374,6049.0,1089.0,0.0,0.0
jestjs/jest,https://github.com/jestjs/jest,41940,1464,0,6809,1576.0,6695.0,Typescript,Tipada,1.0170276325616132,9265.0,2214.0,617.6372222222222,1576.0
vercel/hyper,https://github.com/vercel/hyper,40854,449,0,3522,0.0,3399.0,Typescript,Tipada,1.036187113857017,1688.0,596.0,0.0,0.0
pixijs/pixijs,https://github.com/pixijs/pixijs,39861,435,0,6473,0.0,3565.0,Typescript,Tipada,1.8157082748948103,3464.0,377.0,0.0,0.0
styled-components/styled-components,https://github.com/styled-components/styled-components,38779,343,0,3473,0.0,1231.0,Typescript,Tipada,2.8212835093419986,1739.0,65.0,0.0,0.0
vuejs/core,https://github.com/vuejs/core,37364,408,0,4917,0.0,3521.0,Typescript,Tipada,1.3964782732178358,16134.0,911.0,0.0,0.0
vuetifyjs/vuetify,https://github.com/vuetifyjs/vuetify,37103,815,0,14120,0.0,4529.0,Typescript,Tipada,3.117686023404725,12271.0,558.0,0.0,0.0
streamich/react-use,https://github.com/streamich/react-use,36654,171,12,2947,17.0,1952.0,Typescript,Tipada,1.509733606557377,1066.0,58.0,129.66305555555556,29.0
nocodb/nocodb,https://github.com/nocodb/nocodb,35821,140,0,14192,0.0,2140.0,Typescript,Tipada,6.631775700934579,18269.0,1646.0,0.0,0.0
RocketChat/Rocket.Chat,https://github.com/RocketChat/Rocket.Chat,35464,858,283,23478,1918.0,13571.0,Typescript,Tipada,1.7300125267113695,43563.0,3250.0,673.5472222222222,2201.0
react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form,34713,259,0,3453,438.0,2167.0,Typescript,Tipada,1.5934471619750807,54.0,5.0,8.295555555555556,438.0
lerna/lerna,https://github.com/lerna/lerna,34536,311,58,2569,98.0,1172.0,Typescript,Tipada,2.1919795221843,546.0,14.0,144.71944444444443,156.0
TanStack/query,https://github.com/TanStack/query,34429,602,5,2022,97.0,1643.0,Typescript,Tipada,1.2306755934266584,8540.0,269.0,147.44555555555556,102.0
ant-design/ant-design-pro,https://github.com/ant-design/ant-design-pro,34171,328,0,2471,0.0,1404.0,Typescript,Tipada,1.75997150997151,303.0,9.0,0.0,0.0
nativefier/nativefier,https://github.com/nativefier/nativefier,33534,136,103,1278,286.0,322.0,Typescript,Tipada,3.968944099378882,1106.0,24.0,70.3788888888889,389.0
NervJS/taro,https://github.com/NervJS/taro,32869,504,8,9859,105.0,3511.0,Typescript,Tipada,2.808031899743663,19672.0,1786.0,566.3877777777777,113.0
chakra-ui/chakra-ui,https://github.com/chakra-ui/chakra-ui,32598,584,0,8906,0.0,2883.0,Typescript,Tipada,3.0891432535553243,6186.0,190.0,0.0,0.0
immutable-js/immutable-js,https://github.com/immutable-js/immutable-js,32570,212,5,1718,70.0,714.0,Typescript,Tipada,2.4061624649859943,3754.0,438.0,4651.792638888888,75.0
date-fns/date-fns,https://github.com/date-fns/date-fns,31500,373,0,1931,0.0,1542.0,Typescript,Tipada,1.2522697795071336,6255.0,434.0,0.0,0.0
prisma/prisma,https://github.com/prisma/prisma,31219,223,0,9222,0.0,5405.0,Typescript,Tipada,1.7061979648473635,2340.0,179.0,0.0,0.0
